photo_id,target_class,category_name,file_path,location,camera_angle,lighting_condition,background,condition,date_captured,collector_present
FLD_P_0028,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_014.jpg,Bhosari PCMC Gate 2,SCALE_READING,TUBE_LIGHT,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0029,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_001.jpg,Bhosari PCMC Gate 2,TOP_DOWN,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0030,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_002.jpg,Dharavi Aggregator Shed 4,SCALE_READING,TUBE_LIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0031,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_003.jpg,Dharavi Aggregator Shed 4,TOP_DOWN,TUBE_LIGHT,BURLAP_SACK,DAMAGED,2025-11-14,True
FLD_P_0032,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_004.jpg,Kurla Scrap Yard,TOP_DOWN,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0033,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_005.jpg,Dharavi Aggregator Shed 4,SCALE_READING,TUBE_LIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0034,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_006.jpg,Kurla Scrap Yard,TOP_DOWN,SCRAP_SHED_SHADOW,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0035,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_007.jpg,Bhosari PCMC Gate 2,TOP_DOWN,OUTDOOR_SUNLIGHT,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0036,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_008.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0037,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_009.jpg,Kurla Scrap Yard,SCALE_READING,SCRAP_SHED_SHADOW,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0038,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_010.jpg,Bhosari PCMC Gate 2,SCALE_READING,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DIRTY,2025-11-14,True
FLD_P_0039,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_011.jpg,Dharavi Aggregator Shed 4,TOP_DOWN,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0040,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_012.jpg,Bhosari PCMC Gate 2,SCALE_READING,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0041,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_013.jpg,Nashik Sinnar Scrap Cluster,CLOSEUP_LABEL,DIM_INTERIOR,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0042,CAT_PCB,Printed Circuit Boards (PCBs),ai_ml/field_research/classes/pcb/pcb_field_014.jpg,Bhosari PCMC Gate 2,SCALE_READING,SCRAP_SHED_SHADOW,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0043,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_001.jpg,Bhosari PCMC Gate 2,TOP_DOWN,TUBE_LIGHT,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0044,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_002.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,BURLAP_SACK,DAMAGED,2025-11-14,True
FLD_P_0045,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_003.jpg,Nashik Sinnar Scrap Cluster,CLOSEUP_LABEL,DIM_INTERIOR,BURLAP_SACK,DIRTY,2025-11-14,True
FLD_P_0046,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_004.jpg,Kurla Scrap Yard,TOP_DOWN,DIM_INTERIOR,CONCRETE_FLOOR,STRIPPED,2025-11-14,True
FLD_P_0047,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_005.jpg,Dharavi Aggregator Shed 4,SCALE_READING,SCRAP_SHED_SHADOW,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0048,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_006.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0049,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_007.jpg,Kurla Scrap Yard,SCALE_READING,SCRAP_SHED_SHADOW,HEAPED_PILE,DIRTY,2025-11-14,True
FLD_P_0050,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_008.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0051,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_009.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0052,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_010.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0053,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_011.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,TUBE_LIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0054,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_012.jpg,Dharavi Aggregator Shed 4,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0055,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_013.jpg,Bhosari PCMC Gate 2,SCALE_READING,TUBE_LIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0056,CAT_CABLES,Copper Cables & Wires,ai_ml/field_research/classes/cables/cables_field_014.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0057,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_001.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0058,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_002.jpg,Dharavi Aggregator Shed 4,CLOSEUP_LABEL,DIM_INTERIOR,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0059,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_003.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,TUBE_LIGHT,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0060,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_004.jpg,Dharavi Aggregator Shed 4,SCALE_READING,SCRAP_SHED_SHADOW,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0061,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_005.jpg,Kurla Scrap Yard,SCALE_READING,TUBE_LIGHT,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0062,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_006.jpg,Kurla Scrap Yard,CLOSEUP_LABEL,DIM_INTERIOR,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0063,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_007.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,TUBE_LIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0064,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_008.jpg,Kurla Scrap Yard,CLOSEUP_LABEL,DIM_INTERIOR,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0065,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_009.jpg,Kurla Scrap Yard,TOP_DOWN,TUBE_LIGHT,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0066,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_010.jpg,Kurla Scrap Yard,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0067,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_011.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,BURLAP_SACK,DIRTY,2025-11-14,True
FLD_P_0068,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_012.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0069,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_013.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,OUTDOOR_SUNLIGHT,BURLAP_SACK,INTACT,2025-11-14,True
FLD_P_0070,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),ai_ml/field_research/classes/battery/battery_field_014.jpg,Dharavi Aggregator Shed 4,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,HEAPED_PILE,DIRTY,2025-11-14,True
FLD_P_0071,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_001.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0072,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_002.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0073,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_003.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,SCRAP_SHED_SHADOW,BURLAP_SACK,DIRTY,2025-11-14,True
FLD_P_0074,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_004.jpg,Kurla Scrap Yard,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,BURLAP_SACK,DIRTY,2025-11-14,True
FLD_P_0075,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_005.jpg,Dharavi Aggregator Shed 4,CLOSEUP_LABEL,SCRAP_SHED_SHADOW,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0076,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_006.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0077,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_007.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0078,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_008.jpg,Dharavi Aggregator Shed 4,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0079,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_009.jpg,Dharavi Aggregator Shed 4,SCALE_READING,SCRAP_SHED_SHADOW,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0080,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_010.jpg,Dharavi Aggregator Shed 4,TOP_DOWN,TUBE_LIGHT,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0081,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_011.jpg,Bhosari PCMC Gate 2,CLOSEUP_LABEL,TUBE_LIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0082,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_012.jpg,Dharavi Aggregator Shed 4,TOP_DOWN,TUBE_LIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0083,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_013.jpg,Bhosari PCMC Gate 2,SCALE_READING,OUTDOOR_SUNLIGHT,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0084,CAT_MOTORS,Motors & Magnet Assemblies,ai_ml/field_research/classes/motors/motors_field_014.jpg,Dharavi Aggregator Shed 4,SCALE_READING,DIM_INTERIOR,WEIGHING_SCALE,INTACT,2025-11-14,True
FLD_P_0085,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_001.jpg,Dharavi Aggregator Shed 4,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0086,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_002.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,OUTDOOR_SUNLIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0087,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_003.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,BURLAP_SACK,DAMAGED,2025-11-14,True
FLD_P_0088,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_004.jpg,Dharavi Aggregator Shed 4,SCALE_READING,SCRAP_SHED_SHADOW,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0089,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_005.jpg,Dharavi Aggregator Shed 4,TOP_DOWN,DIM_INTERIOR,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0090,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_006.jpg,Bhosari PCMC Gate 2,SCALE_READING,DIM_INTERIOR,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0091,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_007.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,TUBE_LIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0092,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_008.jpg,Dharavi Aggregator Shed 4,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0093,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_009.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,BURLAP_SACK,INTACT,2025-11-14,True
FLD_P_0094,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_010.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0095,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_011.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0096,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_012.jpg,Bhosari PCMC Gate 2,TOP_DOWN,OUTDOOR_SUNLIGHT,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0097,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_013.jpg,Bhosari PCMC Gate 2,SCALE_READING,OUTDOOR_SUNLIGHT,BURLAP_SACK,DAMAGED,2025-11-14,True
FLD_P_0098,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),ai_ml/field_research/classes/plastics/plastics_field_014.jpg,Kurla Scrap Yard,SCALE_READING,OUTDOOR_SUNLIGHT,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0099,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_001.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0100,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_002.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0101,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_003.jpg,Kurla Scrap Yard,SCALE_READING,DIM_INTERIOR,HEAPED_PILE,DIRTY,2025-11-14,True
FLD_P_0102,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_004.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,TUBE_LIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0103,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_005.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DIRTY,2025-11-14,True
FLD_P_0104,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_006.jpg,Kurla Scrap Yard,SCALE_READING,OUTDOOR_SUNLIGHT,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0105,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_007.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,CONCRETE_FLOOR,INTACT,2025-11-14,True
FLD_P_0106,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_008.jpg,Kurla Scrap Yard,TOP_DOWN,OUTDOOR_SUNLIGHT,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0107,CAT_OTHER,Other Electronic Scrap,ai_ml/field_research/classes/other/other_field_009.jpg,Kurla Scrap Yard,TOP_DOWN,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
