unique_lot_id,short_code,collector_id,category_id,material_sub_category,quantity_weight_kg,quoted_price_per_kg,final_sale_value_inr,recycler_id,collection_location,handover_location,date_time,payment_status,transaction_status
LOT_2026_0011,E1A804,COL_MH_0029,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),21.18,54.0,1177.29,REC_MH_RECYCLEKARO_004,Mumbai - Dharavi Ward G/N,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-10-13T08:00:00+00:00,PENDING,IN_TRANSIT
LOT_2026_0012,C37C0B,COL_MH_0027,CAT_CRT,Large Screen TV CRT (29-inch),61.73,11.25,664.1,REC_MH_ECORECO_001,Thane - Wagle Estate / Kisan Nagar,Eco Recycling Limited (Ecoreco) - Facility Gate,2025-12-05T01:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0013,14B36E,COL_MH_0008,CAT_MOTORS,Refrigerator Compressor Motor Unit,36.05,35.7,1225.95,REC_MH_THANE_AGGR_008,Mumbai - Kurla West Ward L,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-10-14T08:00:00+00:00,PAID_CASH,PAID
LOT_2026_0014,73C052,COL_MH_0002,CAT_CRT,Color Television CRT Tube,19.38,11.9,221.92,REC_MH_ECOCENTRIC_005,Pune - Pimpri Kaspate Vasti,Eco-Centric Remakers Private Limited - Facility Gate,2025-09-14T01:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0015,E40186,COL_MH_0034,CAT_OTHER,Ferrite Core Transformers & Adapters,48.18,29.75,1494.41,REC_MH_THANE_AGGR_008,Nagpur - Itwari Scrap Yard,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-12-16T08:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0016,2C51B0,COL_MH_0018,CAT_OTHER,Computer Keyboards & Computer Mice,20.92,13.5,289.67,REC_MH_EINCARNATION_002,Nagpur - Sitabuldi / Cotton Market,E-Incarnation Recycling Private Limited - Facility Gate,2025-12-13T09:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0017,562962,COL_MH_0017,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,43.01,82.5,3486.29,REC_MH_THANE_AGGR_008,Thane - Wagle Estate / Kisan Nagar,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2026-03-03T07:00:00+00:00,PAID_CASH,PAID
LOT_2026_0018,7E3435,COL_MH_0003,CAT_LCD_LED,Laptop Display Screen Panel,63.17,48.75,3175.22,REC_MH_ECOCENTRIC_005,Thane - Wagle Estate / Kisan Nagar,Eco-Centric Remakers Private Limited - Facility Gate,2026-02-26T12:00:00+00:00,PAID_CASH,PAID
LOT_2026_0019,DB4588,COL_MH_0012,CAT_MOTORS,Refrigerator Compressor Motor Unit,25.2,35.7,917.37,REC_MH_NAGPUR_CLEAN_007,Mumbai - Malad West Ward P/N,Vidarbha E-Waste Clean Solution - Facility Gate,2026-02-17T08:00:00+00:00,PAID_CASH,PAID
LOT_2026_0020,83B85B,COL_MH_0028,CAT_PLASTICS,HIPS TV Back Covers & Bezels,44.08,15.0,656.14,REC_MH_PUNE_GREEN_006,Mumbai - Kurla West Ward L,Green Sense Technologies & Recyclers - Facility Gate,2025-12-07T06:00:00+00:00,PAID_CASH,PAID
LOT_2026_0021,E2215D,COL_MH_0033,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),19.72,54.0,1038.38,REC_MH_RECYCLEKARO_004,Thane - Mumbra / Diva,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2026-01-28T07:00:00+00:00,PAID_CASH,PAID
LOT_2026_0022,FE5372,COL_MH_0016,CAT_CABLES,Insulated Flexible Copper Wire (Household),53.57,217.5,11377.67,REC_MH_ATTERO_003,Nashik - Old CBS / Panchavati,Attero Recycling Facility Hub - Facility Gate,2025-12-04T02:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0023,DAA537,COL_MH_0022,CAT_PCB,High-Grade Motherboard (PC / Server),26.14,255.0,6849.69,REC_MH_THANE_AGGR_008,Mumbai - Malad West Ward P/N,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-08-12T09:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0024,E4C883,COL_MH_0012,CAT_CABLES,Telecom Multi-core Ribbon Cables,23.28,195.0,4371.71,REC_MH_THANE_AGGR_008,Mumbai - Malad West Ward P/N,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-12-10T08:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0025,77730A,COL_MH_0014,CAT_CRT,Color Television CRT Tube,58.47,10.5,593.07,REC_MH_THANE_AGGR_008,Nagpur - Sitabuldi / Cotton Market,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-08-11T08:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0026,DEDC83,COL_MH_0030,CAT_MOTORS,Ceiling Fan Induction Motor Stator,45.83,48.0,2183.5,REC_MH_RECYCLEKARO_004,Mumbai - Malad West Ward P/N,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-12-02T02:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0027,81A1D8,COL_MH_0008,CAT_MOTORS,Ceiling Fan Induction Motor Stator,21.33,40.8,901.69,REC_MH_RECYCLEKARO_004,Mumbai - Kurla West Ward L,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-08-08T02:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0028,29EE26,COL_MH_0039,CAT_PCB,Power Supply Unit (PSU) Board,14.81,130.0,1848.48,REC_MH_ATTERO_003,Mumbai - Malad West Ward P/N,Attero Recycling Facility Hub - Facility Gate,2025-10-11T12:00:00+00:00,PAID_CASH,PAID
LOT_2026_0029,86B4B5,COL_MH_0029,CAT_CRT,Computer Monitor CRT,49.23,9.0,454.56,REC_MH_NAGPUR_CLEAN_007,Mumbai - Dharavi Ward G/N,Vidarbha E-Waste Clean Solution - Facility Gate,2025-10-06T05:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0030,6E71D8,COL_MH_0014,CAT_OTHER,Small Kitchen Appliances (Iron/Mixer),51.96,28.0,1468.12,REC_MH_ECOCENTRIC_005,Nagpur - Sitabuldi / Cotton Market,Eco-Centric Remakers Private Limited - Facility Gate,2025-08-13T09:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0031,4C3CA9,COL_MH_0015,CAT_CABLES,Telecom Multi-core Ribbon Cables,23.43,260.0,5836.11,REC_MH_PUNE_GREEN_006,Nagpur - Sitabuldi / Cotton Market,Green Sense Technologies & Recyclers - Facility Gate,2025-12-23T08:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0032,8A5B64,COL_MH_0019,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,5.79,82.5,479.37,REC_MH_EINCARNATION_002,Pune - Swargate / Bhavani Peth,E-Incarnation Recycling Private Limited - Facility Gate,2026-01-13T02:00:00+00:00,PAID_CASH,PAID
LOT_2026_0033,0410B3,COL_MH_0004,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),48.25,54.0,2499.35,REC_MH_EINCARNATION_002,Mumbai - Malad West Ward P/N,E-Incarnation Recycling Private Limited - Facility Gate,2026-02-25T01:00:00+00:00,PENDING,IN_TRANSIT
LOT_2026_0034,5CF537,COL_MH_0026,CAT_CRT,Color Television CRT Tube,11.06,14.0,155.51,REC_MH_THANE_AGGR_008,Mumbai - Kurla West Ward L,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-09-23T07:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0035,6FF33E,COL_MH_0020,CAT_PCB,High-Grade Motherboard (PC / Server),9.02,340.0,3118.6,REC_MH_PUNE_GREEN_006,Mumbai - Dharavi Ward G/N,Green Sense Technologies & Recyclers - Facility Gate,2026-03-05T01:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0036,9952A4,COL_MH_0031,CAT_CABLES,Telecom Multi-core Ribbon Cables,35.56,221.0,8090.64,REC_MH_RECYCLEKARO_004,Mumbai - Dharavi Ward G/N,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2026-01-17T08:00:00+00:00,PENDING,IN_TRANSIT
LOT_2026_0037,DA15B3,COL_MH_0029,CAT_LCD_LED,Laptop Display Screen Panel,53.9,48.75,2507.54,REC_MH_ECOCENTRIC_005,Mumbai - Dharavi Ward G/N,Eco-Centric Remakers Private Limited - Facility Gate,2026-02-26T10:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0038,18335C,COL_MH_0004,CAT_PLASTICS,Polycarbonate (PC) Clear Scrap,27.42,24.0,658.37,REC_MH_PUNE_GREEN_006,Mumbai - Malad West Ward P/N,Green Sense Technologies & Recyclers - Facility Gate,2025-12-13T03:00:00+00:00,PAID_CASH,PAID
LOT_2026_0039,C94B45,COL_MH_0024,CAT_PCB,Power Supply Unit (PSU) Board,58.08,97.5,5864.89,REC_MH_ATTERO_003,Pune - Pimpri Kaspate Vasti,Attero Recycling Facility Hub - Facility Gate,2025-10-14T10:00:00+00:00,PAID_UPI,DISPUTED
LOT_2026_0040,025C3B,COL_MH_0029,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,22.71,93.5,2055.01,REC_MH_ATTERO_003,Mumbai - Dharavi Ward G/N,Attero Recycling Facility Hub - Facility Gate,2025-08-30T11:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0041,1DB225,COL_MH_0002,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,29.65,82.5,2411.34,REC_MH_ATTERO_003,Pune - Pimpri Kaspate Vasti,Attero Recycling Facility Hub - Facility Gate,2025-11-07T10:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0042,0AA90D,COL_MH_0029,CAT_OTHER,Ferrite Core Transformers & Adapters,29.7,35.0,990.32,REC_MH_ECOCENTRIC_005,Mumbai - Dharavi Ward G/N,Eco-Centric Remakers Private Limited - Facility Gate,2026-01-27T10:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0043,E6E42E,COL_MH_0007,CAT_PCB,RAM & Mobile Daughter Boards,64.01,487.5,30106.37,REC_MH_ECOCENTRIC_005,Mumbai - Malad West Ward P/N,Eco-Centric Remakers Private Limited - Facility Gate,2026-01-14T12:00:00+00:00,PAID_CASH,PAID
LOT_2026_0044,A1AAD3,COL_MH_0026,CAT_OTHER,Ferrite Core Transformers & Adapters,59.26,26.25,1557.67,REC_MH_ECORECO_001,Mumbai - Kurla West Ward L,Eco Recycling Limited (Ecoreco) - Facility Gate,2026-02-08T02:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0045,D85143,COL_MH_0028,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,38.08,82.5,3259.96,REC_MH_ATTERO_003,Mumbai - Kurla West Ward L,Attero Recycling Facility Hub - Facility Gate,2026-01-14T04:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0046,BCF0A2,COL_MH_0033,CAT_CABLES,Telecom Multi-core Ribbon Cables,20.72,221.0,4608.67,REC_MH_ECORECO_001,Thane - Mumbra / Diva,Eco Recycling Limited (Ecoreco) - Facility Gate,2026-03-06T10:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0047,DC03FE,COL_MH_0001,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),21.93,72.0,1500.08,REC_MH_RECYCLEKARO_004,Thane - Wagle Estate / Kisan Nagar,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-12-08T07:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0048,A97616,COL_MH_0019,CAT_PCB,Power Supply Unit (PSU) Board,45.14,130.0,5590.12,REC_MH_RECYCLEKARO_004,Pune - Swargate / Bhavani Peth,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-12-30T02:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0049,DF8C9E,COL_MH_0008,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),54.02,54.0,2945.86,REC_MH_RECYCLEKARO_004,Mumbai - Kurla West Ward L,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-11-07T12:00:00+00:00,PAID_UPI,IN_TRANSIT
LOT_2026_0050,84A24D,COL_MH_0014,CAT_PCB,High-Grade Motherboard (PC / Server),39.69,289.0,11853.09,REC_MH_EINCARNATION_002,Nagpur - Sitabuldi / Cotton Market,E-Incarnation Recycling Private Limited - Facility Gate,2025-12-25T06:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0051,0DD5A8,COL_MH_0015,CAT_CRT,Computer Monitor CRT,64.97,10.2,672.77,REC_MH_ECORECO_001,Nagpur - Sitabuldi / Cotton Market,Eco Recycling Limited (Ecoreco) - Facility Gate,2026-02-04T09:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0052,BAC478,COL_MH_0033,CAT_CRT,Large Screen TV CRT (29-inch),48.23,12.75,606.99,REC_MH_ECORECO_001,Thane - Mumbra / Diva,Eco Recycling Limited (Ecoreco) - Facility Gate,2025-12-10T04:00:00+00:00,PAID_UPI,DISPUTED
LOT_2026_0053,C68DDD,COL_MH_0037,CAT_OTHER,Computer Keyboards & Computer Mice,54.03,15.3,867.43,REC_MH_ECOCENTRIC_005,Mumbai - Kurla West Ward L,Eco-Centric Remakers Private Limited - Facility Gate,2025-09-05T12:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0054,347A5F,COL_MH_0007,CAT_LCD_LED,Laptop Display Screen Panel,34.32,55.25,1972.71,REC_MH_PUNE_GREEN_006,Mumbai - Malad West Ward P/N,Green Sense Technologies & Recyclers - Facility Gate,2026-02-12T06:00:00+00:00,PAID_UPI,IN_TRANSIT
LOT_2026_0055,5DDF0D,COL_MH_0004,CAT_CRT,Color Television CRT Tube,61.89,10.5,663.57,REC_MH_NAGPUR_CLEAN_007,Mumbai - Malad West Ward P/N,Vidarbha E-Waste Clean Solution - Facility Gate,2025-11-09T06:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0056,BC336B,COL_MH_0014,CAT_BATTERY,Lead-Acid Inverter / UPS Battery,28.51,85.0,2489.73,REC_MH_EINCARNATION_002,Nagpur - Sitabuldi / Cotton Market,E-Incarnation Recycling Private Limited - Facility Gate,2025-12-28T09:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0057,F6378A,COL_MH_0026,CAT_CABLES,Telecom Multi-core Ribbon Cables,5.01,195.0,936.34,REC_MH_RECYCLEKARO_004,Mumbai - Kurla West Ward L,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-08-14T09:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0058,A2A48C,COL_MH_0040,CAT_PCB,Low-Grade Brown PCB (CRT/Audio),64.37,71.25,4769.82,REC_MH_EINCARNATION_002,Mumbai - Malad West Ward P/N,E-Incarnation Recycling Private Limited - Facility Gate,2025-09-22T10:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0059,B1A405,COL_MH_0031,CAT_PCB,Telecom Base Station PCB,56.84,315.0,18101.53,REC_MH_PUNE_GREEN_006,Mumbai - Dharavi Ward G/N,Green Sense Technologies & Recyclers - Facility Gate,2025-12-27T12:00:00+00:00,PAID_CASH,PAID
LOT_2026_0060,629F0A,COL_MH_0006,CAT_CRT,Color Television CRT Tube,14.27,10.5,155.79,REC_MH_ECORECO_001,Mumbai - Malad West Ward P/N,Eco Recycling Limited (Ecoreco) - Facility Gate,2025-11-16T03:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0061,170D5B,COL_MH_0034,CAT_MOTORS,Hard Disk Drive Neodymium Magnet Assy,13.75,71.25,954.87,REC_MH_NAGPUR_CLEAN_007,Nagpur - Itwari Scrap Yard,Vidarbha E-Waste Clean Solution - Facility Gate,2025-10-12T04:00:00+00:00,PENDING,IN_TRANSIT
LOT_2026_0062,4A575A,COL_MH_0017,CAT_PLASTICS,Polycarbonate (PC) Clear Scrap,22.1,24.0,544.25,REC_MH_PUNE_GREEN_006,Thane - Wagle Estate / Kisan Nagar,Green Sense Technologies & Recyclers - Facility Gate,2025-10-09T02:00:00+00:00,PENDING,DISPUTED
LOT_2026_0063,0AB6AE,COL_MH_0014,CAT_PCB,High-Grade Motherboard (PC / Server),29.16,255.0,7331.88,REC_MH_PUNE_GREEN_006,Nagpur - Sitabuldi / Cotton Market,Green Sense Technologies & Recyclers - Facility Gate,2026-02-16T07:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0064,B72E98,COL_MH_0027,CAT_OTHER,Small Kitchen Appliances (Iron/Mixer),55.91,28.0,1626.17,REC_MH_RECYCLEKARO_004,Thane - Wagle Estate / Kisan Nagar,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2026-01-01T09:00:00+00:00,PAID_CASH,PAID
LOT_2026_0065,28275B,COL_MH_0014,CAT_CABLES,Insulated Flexible Copper Wire (Household),61.61,290.0,18228.72,REC_MH_ATTERO_003,Nagpur - Sitabuldi / Cotton Market,Attero Recycling Facility Hub - Facility Gate,2025-10-02T12:00:00+00:00,PENDING,DISPUTED
LOT_2026_0066,9D9EC7,COL_MH_0002,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),40.51,54.0,2221.46,REC_MH_THANE_AGGR_008,Pune - Pimpri Kaspate Vasti,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-09-06T07:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0067,227F2F,COL_MH_0029,CAT_CABLES,Computer Power Cords & VGA Cables,34.55,195.5,6805.55,REC_MH_ECORECO_001,Mumbai - Dharavi Ward G/N,Eco Recycling Limited (Ecoreco) - Facility Gate,2026-01-18T05:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0068,CE90A4,COL_MH_0017,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),56.87,72.0,4036.65,REC_MH_THANE_AGGR_008,Thane - Wagle Estate / Kisan Nagar,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-09-07T02:00:00+00:00,PAID_CASH,DISPUTED
LOT_2026_0069,9A0D88,COL_MH_0036,CAT_OTHER,Small Kitchen Appliances (Iron/Mixer),46.1,21.0,929.36,REC_MH_ECOCENTRIC_005,Pune - Pimpri Kaspate Vasti,Eco-Centric Remakers Private Limited - Facility Gate,2025-12-03T09:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0070,D9718C,COL_MH_0004,CAT_PCB,Telecom Base Station PCB,36.87,357.0,12888.17,REC_MH_THANE_AGGR_008,Mumbai - Malad West Ward P/N,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2026-02-10T04:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0071,AD03A5,COL_MH_0004,CAT_BATTERY,Small Lead-Acid SMF Battery (UPS),48.83,54.0,2571.84,REC_MH_EINCARNATION_002,Mumbai - Malad West Ward P/N,E-Incarnation Recycling Private Limited - Facility Gate,2025-12-11T01:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0072,362C10,COL_MH_0023,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,8.76,110.0,1002.74,REC_MH_THANE_AGGR_008,Pune - Hadapsar Industrial,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2026-01-13T09:00:00+00:00,PAID_CASH,PAID
LOT_2026_0073,AFA263,COL_MH_0024,CAT_OTHER,Computer Keyboards & Computer Mice,32.16,13.5,446.11,REC_MH_THANE_AGGR_008,Pune - Pimpri Kaspate Vasti,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-08-31T09:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0074,AB8DDC,COL_MH_0040,CAT_OTHER,Ferrite Core Transformers & Adapters,53.63,26.25,1475.94,REC_MH_NAGPUR_CLEAN_007,Mumbai - Malad West Ward P/N,Vidarbha E-Waste Clean Solution - Facility Gate,2025-10-11T01:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0075,D664B9,COL_MH_0008,CAT_BATTERY,Lead-Acid Inverter / UPS Battery,15.54,72.25,1116.9,REC_MH_PUNE_GREEN_006,Mumbai - Kurla West Ward L,Green Sense Technologies & Recyclers - Facility Gate,2025-10-26T06:00:00+00:00,PAID_UPI,DISPUTED
LOT_2026_0076,592ACA,COL_MH_0012,CAT_CRT,Large Screen TV CRT (29-inch),38.22,11.25,427.73,REC_MH_NAGPUR_CLEAN_007,Mumbai - Malad West Ward P/N,Vidarbha E-Waste Clean Solution - Facility Gate,2026-03-03T05:00:00+00:00,PAID_CASH,PAID
LOT_2026_0077,836314,COL_MH_0003,CAT_CABLES,Telecom Multi-core Ribbon Cables,54.04,195.0,10431.34,REC_MH_EINCARNATION_002,Thane - Wagle Estate / Kisan Nagar,E-Incarnation Recycling Private Limited - Facility Gate,2026-01-02T06:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0078,496C7B,COL_MH_0005,CAT_PCB,RAM & Mobile Daughter Boards,39.27,487.5,19019.4,REC_MH_RECYCLEKARO_004,Thane - Wagle Estate / Kisan Nagar,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-10-05T10:00:00+00:00,PAID_UPI,DISPUTED
LOT_2026_0079,3AE945,COL_MH_0017,CAT_BATTERY,Laptop Li-Ion 18650 Battery Pack,50.33,93.5,4938.39,REC_MH_ATTERO_003,Thane - Wagle Estate / Kisan Nagar,Attero Recycling Facility Hub - Facility Gate,2025-12-13T09:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0080,8B6845,COL_MH_0024,CAT_PCB,High-Grade Motherboard (PC / Server),54.82,255.0,13337.38,REC_MH_EINCARNATION_002,Pune - Pimpri Kaspate Vasti,E-Incarnation Recycling Private Limited - Facility Gate,2025-11-21T09:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0081,890433,COL_MH_0033,CAT_PLASTICS,HIPS TV Back Covers & Bezels,43.46,15.0,626.07,REC_MH_PUNE_GREEN_006,Thane - Mumbra / Diva,Green Sense Technologies & Recyclers - Facility Gate,2025-08-06T04:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0082,7E3C5A,COL_MH_0025,CAT_PCB,RAM & Mobile Daughter Boards,64.58,487.5,30173.74,REC_MH_THANE_AGGR_008,Mumbai - Dharavi Ward G/N,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-10-26T06:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0083,9FFE16,COL_MH_0006,CAT_CABLES,Computer Power Cords & VGA Cables,58.15,195.5,11228.85,REC_MH_PUNE_GREEN_006,Mumbai - Malad West Ward P/N,Green Sense Technologies & Recyclers - Facility Gate,2025-12-16T08:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0084,C33789,COL_MH_0001,CAT_BATTERY,Lithium-Ion Smartphone Batteries,45.66,90.0,3909.46,REC_MH_PUNE_GREEN_006,Thane - Wagle Estate / Kisan Nagar,Green Sense Technologies & Recyclers - Facility Gate,2025-10-07T02:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0085,2E3331,COL_MH_0040,CAT_PLASTICS,HIPS TV Back Covers & Bezels,46.98,17.0,827.13,REC_MH_ECORECO_001,Mumbai - Malad West Ward P/N,Eco Recycling Limited (Ecoreco) - Facility Gate,2026-02-25T10:00:00+00:00,PAID_UPI,IN_TRANSIT
LOT_2026_0086,4EE39A,COL_MH_0027,CAT_BATTERY,Lithium-Ion Smartphone Batteries,30.12,90.0,2785.62,REC_MH_PUNE_GREEN_006,Thane - Wagle Estate / Kisan Nagar,Green Sense Technologies & Recyclers - Facility Gate,2025-10-08T03:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0087,9CECD7,COL_MH_0038,CAT_PLASTICS,HIPS TV Back Covers & Bezels,49.77,15.0,746.98,REC_MH_ECORECO_001,Pune - Swargate / Bhavani Peth,Eco Recycling Limited (Ecoreco) - Facility Gate,2025-10-23T08:00:00+00:00,PAID_UPI,DISPUTED
LOT_2026_0088,73BF53,COL_MH_0013,CAT_PCB,Low-Grade Brown PCB (CRT/Audio),35.9,95.0,3527.31,REC_MH_ECOCENTRIC_005,Mumbai - Malad West Ward P/N,Eco-Centric Remakers Private Limited - Facility Gate,2025-11-18T01:00:00+00:00,PAID_CASH,COMPLETED
