unique_lot_id,short_code,photograph_ref,photo_sha256,weight_at_collection_kg,weight_at_handover_kg,timestamp_utc,gps_latitude,gps_longitude,handover_reference_number,recycler_confirmation,record_hash_sha256,subsequent_transaction_status
LOT_2026_0029,86B4B5,photos/lots/LOT_2026_0029_proof.jpg,3d6ad979a09e6247c84997c6a759b88b383bd24e9e1c28093bcf4f8f614dd280,49.23,49.61,2025-10-06T05:00:00+00:00,19.3308,73.0417,HND-86B4B5-183,CONFIRMED,8df98db1b5f2f867204e24031e05702eceb076c6b239deb85ec6c33c0759c1fe,ACCEPTED_FOR_DISMANTLING
LOT_2026_0030,6E71D8,photos/lots/LOT_2026_0030_proof.jpg,39044fbbf6b76537ab40523c97eed93faab7efab01c05aa4ae47f05436887d95,51.96,52.35,2025-08-13T09:00:00+00:00,19.1506,72.8725,HND-6E71D8-673,CONFIRMED,8bc6f94143a06cfa8242d4bb180a11fbc3b60d50fa5b3f304b0ea7451fef52cc,EPR_CREDIT_ISSUED
LOT_2026_0031,4C3CA9,photos/lots/LOT_2026_0031_proof.jpg,c381a8882c547cf3de5af662922bf1ad5488e4fd98465c72f0bf27a8753cb395,23.43,23.31,2025-12-23T08:00:00+00:00,19.2634,72.975,HND-4C3CA9-766,CONFIRMED,a526901e07e662422c9ebaa8be060fd9f1870c74cd7455dcf017bcf6435de960,ACCEPTED_FOR_DISMANTLING
LOT_2026_0032,8A5B64,photos/lots/LOT_2026_0032_proof.jpg,993790ca607ae78bb6e4ce18c12b765dce4e1c004a92c831508c12f5f4c65741,5.79,5.8,2026-01-13T02:00:00+00:00,19.253,72.998,HND-8A5B64-635,CONFIRMED,85c3c7dff9c5d99598dac7c67a6d488b968dfa8271342f70c574caf42627d23c,EPR_CREDIT_ISSUED
LOT_2026_0033,0410B3,photos/lots/LOT_2026_0033_proof.jpg,4244d23d59c634a6264b7b05877985a128cf9b9001264aab38e6fb6787cdecdd,48.25,48.44,2026-02-25T01:00:00+00:00,19.0688,72.9679,HND-0410B3-488,CONFIRMED,dc5da96b87b53db9be4464845e367f7edbfdb76b0a0a71c37b938018ac9d7d6d,ACCEPTED_FOR_DISMANTLING
LOT_2026_0034,5CF537,photos/lots/LOT_2026_0034_proof.jpg,fc795e640460fa5e115aa78996a163d2400ffbe0620b59223ae6cf39de920e49,11.06,11.03,2025-09-23T07:00:00+00:00,19.2869,72.9324,HND-5CF537-181,CONFIRMED,56d0faa1d45d0dc2de7dce0c80f9a7af6053b37bfb1dbc8b276deaf79986c295,EPR_CREDIT_ISSUED
LOT_2026_0035,6FF33E,photos/lots/LOT_2026_0035_proof.jpg,45379d3f6bdcf7e6c4a79048469bab2f1baf67c28d72ad1e1fc684562b922278,9.02,9.0,2026-03-05T01:00:00+00:00,19.1479,73.0159,HND-6FF33E-103,CONFIRMED,5af2363b082bf15a5434b27fe31a2a4c34cae54ddbfad849b6ba8c4d2ada8d6b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0036,9952A4,photos/lots/LOT_2026_0036_proof.jpg,3a77d79415ca52434965392925a081587efc0babf6e67fe564e583acc69ff4c7,35.56,35.21,2026-01-17T08:00:00+00:00,19.1982,73.0307,HND-9952A4-698,CONFIRMED,bd3c27cef8e6d756f33e31b2fea33805ac7aa65d72358943e4420b12d101fbab,ACCEPTED_FOR_DISMANTLING
LOT_2026_0037,DA15B3,photos/lots/LOT_2026_0037_proof.jpg,fc5224ce17a7ec5233b9edf44f6afa8a3ec3fe084f02ca6973ba36e5863fefa5,53.9,53.28,2026-02-26T10:00:00+00:00,19.3284,72.9986,HND-DA15B3-344,CONFIRMED,3adc54ae0efe3aa5674acead44b30e605c8dee14340228c5faf6c2ef0b7cc028,ACCEPTED_FOR_DISMANTLING
LOT_2026_0038,18335C,photos/lots/LOT_2026_0038_proof.jpg,cee562cb3a78216d047a8ce9c0226c2723d00b9100199e448909c876cbf6de77,27.42,27.56,2025-12-13T03:00:00+00:00,19.3289,73.0148,HND-18335C-781,CONFIRMED,d82392ed1a00d8857f9c62d14993907298f67179cb4f044893ce4d32fa88366f,EPR_CREDIT_ISSUED
LOT_2026_0039,C94B45,photos/lots/LOT_2026_0039_proof.jpg,37ae253cc6d15cbfdfcaa7eccc96d3051455a364a5cfe81521f93e709360dc2b,58.08,58.06,2025-10-14T10:00:00+00:00,19.0591,72.8878,HND-C94B45-276,CONFIRMED,62f6bd6f24d702005cc9cd164b53719605f76cde72c4855ac7e493c4548d5701,ACCEPTED_FOR_DISMANTLING
LOT_2026_0040,025C3B,photos/lots/LOT_2026_0040_proof.jpg,d99be62a220e74f42202209ae402c9196112f3e0810f7640d56957ce25bd9fab,22.71,22.31,2025-08-30T11:00:00+00:00,19.2701,72.9151,HND-025C3B-729,CONFIRMED,f251d809dc4b36161e0579065ee0c6b97b0224a34c05628262efb5938a54d5fc,ACCEPTED_FOR_DISMANTLING
LOT_2026_0041,1DB225,photos/lots/LOT_2026_0041_proof.jpg,d5da903a239616b7948446d472a26117bbac9e52e2636b091dac2d4635f1db03,29.65,29.56,2025-11-07T10:00:00+00:00,19.3232,73.076,HND-1DB225-659,CONFIRMED,ece35bec602393520794e5cf8d6e0147a0517b4d8e4fdf7e9fe0a5007c916735,EPR_CREDIT_ISSUED
LOT_2026_0042,0AA90D,photos/lots/LOT_2026_0042_proof.jpg,97351c6b3581e13f8817f0f23d505675b89fd9567c671b24c63d39980a90ac01,29.7,29.35,2026-01-27T10:00:00+00:00,19.0529,73.0772,HND-0AA90D-699,CONFIRMED,90d3a891d4d2d5de82ec65409f303c53949fcb59102a44a785290ecc3153244b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0043,E6E42E,photos/lots/LOT_2026_0043_proof.jpg,188b2687300bc44f7a844b38c0937fe5253218a022c3185282c0545de09e6e23,64.01,63.9,2026-01-14T12:00:00+00:00,19.226,72.9796,HND-E6E42E-594,CONFIRMED,84f095ccd098828cd6e8da9f1e67f519023c2942d9129d1fcbba888e81d11801,EPR_CREDIT_ISSUED
LOT_2026_0044,A1AAD3,photos/lots/LOT_2026_0044_proof.jpg,771a8d3c06e533ef24fb15ee21af4062862fb7271e65d5b264dd2d9a7af74e8e,59.26,58.52,2026-02-08T02:00:00+00:00,19.225,73.0366,HND-A1AAD3-459,CONFIRMED,8b3c9e793a3f0862564d7c4e11a5085bc5b90cd2f3ef6874efe1b94bc4ac9ef1,EPR_CREDIT_ISSUED
LOT_2026_0045,D85143,photos/lots/LOT_2026_0045_proof.jpg,7f4ee9b87cba9647814c3305f4b90538a56e01fd14bf9e4ebdffe61020aeb156,38.08,37.53,2026-01-14T04:00:00+00:00,19.3114,72.9462,HND-D85143-105,CONFIRMED,3526a70df6068e4d421bae08611a4465fca98aa159aff1a1a7c72b1ff6ef4eba,ACCEPTED_FOR_DISMANTLING
LOT_2026_0046,BCF0A2,photos/lots/LOT_2026_0046_proof.jpg,b7f27a5b7f84b02d182d850f10e51020a7b9a16c0b32596b5e6de4a92e8b630a,20.72,20.9,2026-03-06T10:00:00+00:00,19.1825,72.9796,HND-BCF0A2-886,CONFIRMED,9b96913ba80deb99bad23149b5087f607776baab5dfd2d9ae43b6f9c32b1be57,EPR_CREDIT_ISSUED
LOT_2026_0047,DC03FE,photos/lots/LOT_2026_0047_proof.jpg,7a171cd83f00e2457f531afe66d48db7c1d3b03412641fb7c7dc0bce4f56d7a4,21.93,21.94,2025-12-08T07:00:00+00:00,19.1879,72.8733,HND-DC03FE-760,CONFIRMED,f735276918099b8de619f3ad511495577625f454629835676dee53c6232da254,EPR_CREDIT_ISSUED
LOT_2026_0048,A97616,photos/lots/LOT_2026_0048_proof.jpg,71a46c56f8c6671262900b0da4fb5f1ee2f4e6d0500923e0d0a31d6165a8ef6f,45.14,44.27,2025-12-30T02:00:00+00:00,19.3069,72.9334,HND-A97616-252,CONFIRMED,1e41ffeb21905e1e55a746c1362f12851827e5992680996a7137128fef925fa6,EPR_CREDIT_ISSUED
LOT_2026_0049,DF8C9E,photos/lots/LOT_2026_0049_proof.jpg,8bce37e6232e36b5515044f8e8abdb6706586ce63559c6cdae15a9d11dc7c8f2,54.02,53.29,2025-11-07T12:00:00+00:00,19.2038,72.9012,HND-DF8C9E-766,CONFIRMED,10d5a726d65e2681b164f303072393c8c26558b1dc125892cb7aa1fa0aaf5be2,ACCEPTED_FOR_DISMANTLING
LOT_2026_0050,84A24D,photos/lots/LOT_2026_0050_proof.jpg,81d3693e70cc8f1b69beddc4198f03660e6fe12903fb5623fc690626666fa8c8,39.69,39.41,2025-12-25T06:00:00+00:00,19.3211,72.9322,HND-84A24D-210,CONFIRMED,e5a4f4fe63db5346f32b5f39ad691b4f645778e244e37444934d868c17e88b62,EPR_CREDIT_ISSUED
LOT_2026_0051,0DD5A8,photos/lots/LOT_2026_0051_proof.jpg,37c2885ad378e8a7e9a4515544fc1e25471c6d0085248609a70ab07550211550,64.97,64.2,2026-02-04T09:00:00+00:00,19.0789,73.0231,HND-0DD5A8-703,CONFIRMED,2c20848822806571dd92edeeda5a4812aaae79c3baa50d2fc9895f22802fd968,EPR_CREDIT_ISSUED
LOT_2026_0052,BAC478,photos/lots/LOT_2026_0052_proof.jpg,4787b791c71328ccda1b16debbae11ad0902166dc9e510f72e11ba6fc7e1f77e,48.23,48.33,2025-12-10T04:00:00+00:00,19.3407,73.0376,HND-BAC478-380,CONFIRMED,6b2c9d3a319ac18a934000e1e98727f357f28eb6accbf08bb1daa7f7c3c3b84e,ACCEPTED_FOR_DISMANTLING
LOT_2026_0053,C68DDD,photos/lots/LOT_2026_0053_proof.jpg,ff7569bb41a22010fb2a749ae197aa40bbd8de59dc95fc86b92505a3a7bf30ac,54.03,54.28,2025-09-05T12:00:00+00:00,19.2373,72.8966,HND-C68DDD-193,CONFIRMED,1e8465686290d4b086434256a88b09c8a295fa4a20564d300e99de78642eb9d4,EPR_CREDIT_ISSUED
LOT_2026_0054,347A5F,photos/lots/LOT_2026_0054_proof.jpg,5cbaf279e3f4e3be47114d2e0e4c770ffc80657c0812175ac50d9acc9131cd7e,34.32,34.09,2026-02-12T06:00:00+00:00,19.065,73.053,HND-347A5F-903,CONFIRMED,b5839285719078871a3b8b793f17e687761cfddb8f2da0184f1af53b933a5f2d,ACCEPTED_FOR_DISMANTLING
LOT_2026_0055,5DDF0D,photos/lots/LOT_2026_0055_proof.jpg,b2fda827c2c2b06a64e6339d92b885a8146f15a379e639327f399b9f5519f7aa,61.89,61.06,2025-11-09T06:00:00+00:00,19.3507,73.0967,HND-5DDF0D-579,CONFIRMED,a7a5ccb26f1c107d42ef7f925193153c4bcdce4ebe5cb9eb990e454386e74ead,EPR_CREDIT_ISSUED
LOT_2026_0056,BC336B,photos/lots/LOT_2026_0056_proof.jpg,d84d316551894a524e77dce5429e1f77ec2d2218ddfd213a67ddc090f8e5ef70,28.51,28.08,2025-12-28T09:00:00+00:00,19.3195,72.8975,HND-BC336B-588,CONFIRMED,e8e355e9a494f5037f523607cae086e0e4891a038ddf9b1b1cea870636bbab8e,ACCEPTED_FOR_DISMANTLING
LOT_2026_0057,F6378A,photos/lots/LOT_2026_0057_proof.jpg,2b6f1680e7b1ceeacbc26b136ac0db8533f53f0d201bbb8d92ab67198bf1f37a,5.01,4.91,2025-08-14T09:00:00+00:00,19.061,73.0241,HND-F6378A-268,CONFIRMED,928c33212f77db80f8830e23a7565ca7bef888acc0ee04d4633357e856aaa0c6,ACCEPTED_FOR_DISMANTLING
LOT_2026_0058,A2A48C,photos/lots/LOT_2026_0058_proof.jpg,c0efd399bc58cc00a92749ae47e48d3b0b8f2f52d4a46e9a18fa2958eade9fb0,64.37,63.66,2025-09-22T10:00:00+00:00,19.3356,73.0397,HND-A2A48C-248,CONFIRMED,d009cce9fce9c29715cfea631daffb976399d42416b09211ff8b41d90c249e5e,ACCEPTED_FOR_DISMANTLING
LOT_2026_0059,B1A405,photos/lots/LOT_2026_0059_proof.jpg,8f3d8e22aa6fbfbe0e75270aa0037f6725b74b6363b8f6391eb08a490502b309,56.84,56.06,2025-12-27T12:00:00+00:00,19.3495,72.9842,HND-B1A405-306,CONFIRMED,e877be75e08f3435783db97042a50976433841023b1352d59b31aceefcbe0441,EPR_CREDIT_ISSUED
LOT_2026_0060,629F0A,photos/lots/LOT_2026_0060_proof.jpg,faa7e585ffa625484c68fdb492fa94d39a76427c7dd1cf634f117e110a2a5c3d,14.27,14.14,2025-11-16T03:00:00+00:00,19.2507,72.9935,HND-629F0A-401,CONFIRMED,2ca6838c67310f89a0481774abc453a3f38155f4fe7272ce54a3473157f814b6,EPR_CREDIT_ISSUED
LOT_2026_0061,170D5B,photos/lots/LOT_2026_0061_proof.jpg,04e9d8d0effcacca5c3443fe07fd6f6c901a29c02534d57d9828754ecec928a6,13.75,13.67,2025-10-12T04:00:00+00:00,19.2803,72.974,HND-170D5B-423,CONFIRMED,2115e194a016eeb6dc415c7315ae4525496b7eab22284e2f2e2d8aa12b959cdb,ACCEPTED_FOR_DISMANTLING
LOT_2026_0062,4A575A,photos/lots/LOT_2026_0062_proof.jpg,f75227e95eafa0fff6b885a551185e39961936a5405e7ba33cdc19f5b365e8f0,22.1,22.25,2025-10-09T02:00:00+00:00,19.1994,73.0854,HND-4A575A-361,CONFIRMED,220e93221bd8e05000e2608ec5f45170d096405c0c4bac9cc181b894f4fae95f,ACCEPTED_FOR_DISMANTLING
LOT_2026_0063,0AB6AE,photos/lots/LOT_2026_0063_proof.jpg,51470823f7857117cb24787db0de47ce1828a14e7bdedbcaf9b43141f7d55949,29.16,28.83,2026-02-16T07:00:00+00:00,19.3732,72.8674,HND-0AB6AE-219,CONFIRMED,1285c9c1f111ce61940b1c40f88a3c72a613ebabc43b11d8812daf9f989c743a,EPR_CREDIT_ISSUED
LOT_2026_0064,B72E98,photos/lots/LOT_2026_0064_proof.jpg,de988a4b04dae5a762313fd51050ba759ad34aad829cf6a2110df559ac9ad47f,55.91,54.96,2026-01-01T09:00:00+00:00,19.3956,73.0469,HND-B72E98-182,CONFIRMED,1cfb1da2ce0f7a72607574a9bdb973ee1cc6681d20de4c489324b645c6cfa989,EPR_CREDIT_ISSUED
LOT_2026_0065,28275B,photos/lots/LOT_2026_0065_proof.jpg,017ccab3025ef1f6669b40d647a07c30601278ccbb39ee969842d3a89885ae7c,61.61,61.73,2025-10-02T12:00:00+00:00,19.2165,72.8741,HND-28275B-153,CONFIRMED,ed46c4d60fb73a2a80c183bc9ff8797c78ec9e97dd48b9833a1df018d3337351,ACCEPTED_FOR_DISMANTLING
LOT_2026_0066,9D9EC7,photos/lots/LOT_2026_0066_proof.jpg,504544e64229677ccc7f6096d622abbce0ab6fb7158e71f35aa1dfe6fde113f3,40.51,40.58,2025-09-06T07:00:00+00:00,19.0514,72.9632,HND-9D9EC7-982,CONFIRMED,8a6f2fec219d7d08cd902dc969e1903f82ade1c87d5efbf9cbee3150d5434b3b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0067,227F2F,photos/lots/LOT_2026_0067_proof.jpg,8e9f37762b99cc1ef89b9cb4ca32871423835780189b6e8774aab46e2d8f4cdd,34.55,34.63,2026-01-18T05:00:00+00:00,19.3382,72.9043,HND-227F2F-918,CONFIRMED,9a5ac822528d9e02c0faa7772c32a7019d5c31da45deef67c4ffb0cfb26bd9e6,ACCEPTED_FOR_DISMANTLING
LOT_2026_0068,CE90A4,photos/lots/LOT_2026_0068_proof.jpg,891daf4940a940841c2f85d7b061916e56bfedc41d54dc8567a7a444644dc7bc,56.87,56.53,2025-09-07T02:00:00+00:00,19.2962,72.8668,HND-CE90A4-847,CONFIRMED,777b04a70b0225aae32cfe456f9ac31ad658a7a6891ef309f2e07e580c3ae04b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0069,9A0D88,photos/lots/LOT_2026_0069_proof.jpg,e1cb354e742ecbf24c6897d9b88cb2a93b9f78cd9d095f6bbbeb43632ecb37de,46.1,45.69,2025-12-03T09:00:00+00:00,19.2143,73.0374,HND-9A0D88-206,CONFIRMED,0c42f128b8c805453a88f9a00f786b1f3027e40a972fe089b18b000606caa97b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0070,D9718C,photos/lots/LOT_2026_0070_proof.jpg,ded6f41c8c981ada77899efd8638d030df5e3f5d1e2f7934f9755c7cf7a4c299,36.87,36.65,2026-02-10T04:00:00+00:00,19.1711,73.079,HND-D9718C-777,CONFIRMED,93a47f2e0ead3781de5db9ca006f57dd5d19f2cff03a79a28011796d21494880,ACCEPTED_FOR_DISMANTLING
