material_id,category_id,category_name_en,category_name_mr,category_name_hi,sub_category,material_description,image_reference,approximate_weight_kg,condition,source_type,hazard_level,estimated_value_per_kg,unit
MAT_0011,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Large Screen TV CRT (29-inch),Heavy commercial television cathode ray tube,assets/materials/cat_crt_0011.jpg,28.0,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,HIGH,11.25,kg
MAT_0012,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Large Screen TV CRT (29-inch),Heavy commercial television cathode ray tube,assets/materials/cat_crt_0012.jpg,28.0,SCRAP_BULK,COMMERCIAL_OFFICE,HIGH,11.25,kg
MAT_0013,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Laptop Display Screen Panel,14-15.6 inch TFT/LED display panel with cracked or intact glass,assets/materials/cat_lcd_led_0013.jpg,0.9,INTACT,COMMERCIAL_OFFICE,MEDIUM,65.0,kg
MAT_0014,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Laptop Display Screen Panel,14-15.6 inch TFT/LED display panel with cracked or intact glass,assets/materials/cat_lcd_led_0014.jpg,0.9,DAMAGED,INFORMAL_KABADIWALA,MEDIUM,55.25,kg
MAT_0015,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Laptop Display Screen Panel,14-15.6 inch TFT/LED display panel with cracked or intact glass,assets/materials/cat_lcd_led_0015.jpg,0.9,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,MEDIUM,48.75,kg
MAT_0016,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Laptop Display Screen Panel,14-15.6 inch TFT/LED display panel with cracked or intact glass,assets/materials/cat_lcd_led_0016.jpg,0.9,SCRAP_BULK,LOCAL_AGGREGATOR,MEDIUM,48.75,kg
MAT_0017,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Desktop LCD Monitor Panel,19 to 24 inch computer monitor display screen,assets/materials/cat_lcd_led_0017.jpg,3.2,INTACT,COMMERCIAL_OFFICE,MEDIUM,50.0,kg
MAT_0018,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Desktop LCD Monitor Panel,19 to 24 inch computer monitor display screen,assets/materials/cat_lcd_led_0018.jpg,3.2,DAMAGED,HOUSEHOLD_COLLECTION,MEDIUM,42.5,kg
MAT_0019,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Desktop LCD Monitor Panel,19 to 24 inch computer monitor display screen,assets/materials/cat_lcd_led_0019.jpg,3.2,PARTIALLY_STRIPPED,COMMERCIAL_OFFICE,MEDIUM,37.5,kg
MAT_0020,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Desktop LCD Monitor Panel,19 to 24 inch computer monitor display screen,assets/materials/cat_lcd_led_0020.jpg,3.2,SCRAP_BULK,LOCAL_AGGREGATOR,MEDIUM,37.5,kg
MAT_0021,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Smart TV LED Display (32-43 inch),Flat panel television LED display assembly,assets/materials/cat_lcd_led_0021.jpg,6.8,INTACT,COMMERCIAL_OFFICE,MEDIUM,48.0,kg
MAT_0022,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Smart TV LED Display (32-43 inch),Flat panel television LED display assembly,assets/materials/cat_lcd_led_0022.jpg,6.8,DAMAGED,INFORMAL_KABADIWALA,MEDIUM,40.8,kg
MAT_0023,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Smart TV LED Display (32-43 inch),Flat panel television LED display assembly,assets/materials/cat_lcd_led_0023.jpg,6.8,PARTIALLY_STRIPPED,COMMERCIAL_OFFICE,MEDIUM,36.0,kg
MAT_0024,CAT_LCD_LED,LCD / LED Panels,एलसीडी / एलईडी स्क्रीन आणि पॅनेल्स,एलसीडी / एलईडी स्क्रीन और पैनल,Smart TV LED Display (32-43 inch),Flat panel television LED display assembly,assets/materials/cat_lcd_led_0024.jpg,6.8,SCRAP_BULK,LOCAL_AGGREGATOR,MEDIUM,36.0,kg
MAT_0025,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",High-Grade Motherboard (PC / Server),Computer motherboard containing gold-plated pins and IC chips,assets/materials/cat_pcb_0025.jpg,0.65,INTACT,COMMERCIAL_OFFICE,MEDIUM,340.0,kg
MAT_0026,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",High-Grade Motherboard (PC / Server),Computer motherboard containing gold-plated pins and IC chips,assets/materials/cat_pcb_0026.jpg,0.65,DAMAGED,LOCAL_AGGREGATOR,MEDIUM,289.0,kg
MAT_0027,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",High-Grade Motherboard (PC / Server),Computer motherboard containing gold-plated pins and IC chips,assets/materials/cat_pcb_0027.jpg,0.65,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,MEDIUM,255.0,kg
MAT_0028,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",High-Grade Motherboard (PC / Server),Computer motherboard containing gold-plated pins and IC chips,assets/materials/cat_pcb_0028.jpg,0.65,SCRAP_BULK,HOUSEHOLD_COLLECTION,MEDIUM,255.0,kg
MAT_0029,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Telecom Base Station PCB,High-frequency server/telecom network card with precious metal traces,assets/materials/cat_pcb_0029.jpg,0.8,INTACT,INFORMAL_KABADIWALA,MEDIUM,420.0,kg
MAT_0030,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Telecom Base Station PCB,High-frequency server/telecom network card with precious metal traces,assets/materials/cat_pcb_0030.jpg,0.8,DAMAGED,LOCAL_AGGREGATOR,MEDIUM,357.0,kg
MAT_0031,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Telecom Base Station PCB,High-frequency server/telecom network card with precious metal traces,assets/materials/cat_pcb_0031.jpg,0.8,PARTIALLY_STRIPPED,LOCAL_AGGREGATOR,MEDIUM,315.0,kg
MAT_0032,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Telecom Base Station PCB,High-frequency server/telecom network card with precious metal traces,assets/materials/cat_pcb_0032.jpg,0.8,SCRAP_BULK,INFORMAL_KABADIWALA,MEDIUM,315.0,kg
MAT_0033,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Low-Grade Brown PCB (CRT/Audio),Single-layer phenolic paper PCB from radios or CRT power boards,assets/materials/cat_pcb_0033.jpg,0.45,INTACT,INFORMAL_KABADIWALA,MEDIUM,95.0,kg
MAT_0034,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Low-Grade Brown PCB (CRT/Audio),Single-layer phenolic paper PCB from radios or CRT power boards,assets/materials/cat_pcb_0034.jpg,0.45,DAMAGED,HOUSEHOLD_COLLECTION,MEDIUM,80.75,kg
MAT_0035,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Low-Grade Brown PCB (CRT/Audio),Single-layer phenolic paper PCB from radios or CRT power boards,assets/materials/cat_pcb_0035.jpg,0.45,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,MEDIUM,71.25,kg
MAT_0036,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Low-Grade Brown PCB (CRT/Audio),Single-layer phenolic paper PCB from radios or CRT power boards,assets/materials/cat_pcb_0036.jpg,0.45,SCRAP_BULK,HOUSEHOLD_COLLECTION,MEDIUM,71.25,kg
MAT_0037,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Power Supply Unit (PSU) Board,Switched-mode power supply circuit board with heat sinks and copper coils,assets/materials/cat_pcb_0037.jpg,0.75,INTACT,INFORMAL_KABADIWALA,MEDIUM,130.0,kg
MAT_0038,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Power Supply Unit (PSU) Board,Switched-mode power supply circuit board with heat sinks and copper coils,assets/materials/cat_pcb_0038.jpg,0.75,DAMAGED,LOCAL_AGGREGATOR,MEDIUM,110.5,kg
MAT_0039,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Power Supply Unit (PSU) Board,Switched-mode power supply circuit board with heat sinks and copper coils,assets/materials/cat_pcb_0039.jpg,0.75,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,MEDIUM,97.5,kg
MAT_0040,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",Power Supply Unit (PSU) Board,Switched-mode power supply circuit board with heat sinks and copper coils,assets/materials/cat_pcb_0040.jpg,0.75,SCRAP_BULK,COMMERCIAL_OFFICE,MEDIUM,97.5,kg
MAT_0041,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",RAM & Mobile Daughter Boards,High gold yield RAM sticks and small smartphone motherboards,assets/materials/cat_pcb_0041.jpg,0.15,INTACT,COMMERCIAL_OFFICE,MEDIUM,650.0,kg
MAT_0042,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",RAM & Mobile Daughter Boards,High gold yield RAM sticks and small smartphone motherboards,assets/materials/cat_pcb_0042.jpg,0.15,DAMAGED,COMMERCIAL_OFFICE,MEDIUM,552.5,kg
MAT_0043,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",RAM & Mobile Daughter Boards,High gold yield RAM sticks and small smartphone motherboards,assets/materials/cat_pcb_0043.jpg,0.15,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,MEDIUM,487.5,kg
MAT_0044,CAT_PCB,Printed Circuit Boards (PCBs),"सर्किट बोर्ड / पीसीबी (मदरबोर्ड, हिरवे बोर्ड)","सर्किट बोर्ड / पीसीबी (मदरबोर्ड, ग्रीन बोर्ड)",RAM & Mobile Daughter Boards,High gold yield RAM sticks and small smartphone motherboards,assets/materials/cat_pcb_0044.jpg,0.15,SCRAP_BULK,LOCAL_AGGREGATOR,MEDIUM,487.5,kg
MAT_0045,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Insulated Flexible Copper Wire (Household),House wiring and electrical copper wire with PVC stripping,assets/materials/cat_cables_0045.jpg,5.0,INTACT,HOUSEHOLD_COLLECTION,LOW,290.0,kg
MAT_0046,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Insulated Flexible Copper Wire (Household),House wiring and electrical copper wire with PVC stripping,assets/materials/cat_cables_0046.jpg,5.0,DAMAGED,LOCAL_AGGREGATOR,LOW,246.5,kg
MAT_0047,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Insulated Flexible Copper Wire (Household),House wiring and electrical copper wire with PVC stripping,assets/materials/cat_cables_0047.jpg,5.0,PARTIALLY_STRIPPED,LOCAL_AGGREGATOR,LOW,217.5,kg
MAT_0048,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Insulated Flexible Copper Wire (Household),House wiring and electrical copper wire with PVC stripping,assets/materials/cat_cables_0048.jpg,5.0,SCRAP_BULK,COMMERCIAL_OFFICE,LOW,217.5,kg
MAT_0049,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Computer Power Cords & VGA Cables,Black PVC shielded appliance power cords with copper stranding,assets/materials/cat_cables_0049.jpg,2.5,INTACT,COMMERCIAL_OFFICE,LOW,230.0,kg
MAT_0050,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Computer Power Cords & VGA Cables,Black PVC shielded appliance power cords with copper stranding,assets/materials/cat_cables_0050.jpg,2.5,DAMAGED,INFORMAL_KABADIWALA,LOW,195.5,kg
MAT_0051,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Computer Power Cords & VGA Cables,Black PVC shielded appliance power cords with copper stranding,assets/materials/cat_cables_0051.jpg,2.5,PARTIALLY_STRIPPED,HOUSEHOLD_COLLECTION,LOW,172.5,kg
MAT_0052,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Computer Power Cords & VGA Cables,Black PVC shielded appliance power cords with copper stranding,assets/materials/cat_cables_0052.jpg,2.5,SCRAP_BULK,LOCAL_AGGREGATOR,LOW,172.5,kg
MAT_0053,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Telecom Multi-core Ribbon Cables,Fine copper communications wire and telephone twisted pair,assets/materials/cat_cables_0053.jpg,3.0,INTACT,HOUSEHOLD_COLLECTION,LOW,260.0,kg
MAT_0054,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Telecom Multi-core Ribbon Cables,Fine copper communications wire and telephone twisted pair,assets/materials/cat_cables_0054.jpg,3.0,DAMAGED,LOCAL_AGGREGATOR,LOW,221.0,kg
MAT_0055,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Telecom Multi-core Ribbon Cables,Fine copper communications wire and telephone twisted pair,assets/materials/cat_cables_0055.jpg,3.0,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,LOW,195.0,kg
MAT_0056,CAT_CABLES,Copper Cables & Wires,तांब्याची वायर आणि केबल्स,तांबे के तार और केबल,Telecom Multi-core Ribbon Cables,Fine copper communications wire and telephone twisted pair,assets/materials/cat_cables_0056.jpg,3.0,SCRAP_BULK,COMMERCIAL_OFFICE,LOW,195.0,kg
MAT_0057,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lead-Acid Inverter / UPS Battery,12V 100Ah-150Ah heavy stationary lead-acid battery unit,assets/materials/cat_battery_0057.jpg,26.0,INTACT,COMMERCIAL_OFFICE,HIGH,85.0,kg
MAT_0058,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lead-Acid Inverter / UPS Battery,12V 100Ah-150Ah heavy stationary lead-acid battery unit,assets/materials/cat_battery_0058.jpg,26.0,DAMAGED,LOCAL_AGGREGATOR,HIGH,72.25,kg
MAT_0059,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lead-Acid Inverter / UPS Battery,12V 100Ah-150Ah heavy stationary lead-acid battery unit,assets/materials/cat_battery_0059.jpg,26.0,PARTIALLY_STRIPPED,HOUSEHOLD_COLLECTION,HIGH,63.75,kg
MAT_0060,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lead-Acid Inverter / UPS Battery,12V 100Ah-150Ah heavy stationary lead-acid battery unit,assets/materials/cat_battery_0060.jpg,26.0,SCRAP_BULK,HOUSEHOLD_COLLECTION,HIGH,63.75,kg
MAT_0061,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Small Lead-Acid SMF Battery (UPS),12V 7Ah sealed maintenance-free lead battery,assets/materials/cat_battery_0061.jpg,2.1,INTACT,LOCAL_AGGREGATOR,HIGH,72.0,kg
MAT_0062,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Small Lead-Acid SMF Battery (UPS),12V 7Ah sealed maintenance-free lead battery,assets/materials/cat_battery_0062.jpg,2.1,DAMAGED,HOUSEHOLD_COLLECTION,HIGH,61.2,kg
MAT_0063,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Small Lead-Acid SMF Battery (UPS),12V 7Ah sealed maintenance-free lead battery,assets/materials/cat_battery_0063.jpg,2.1,PARTIALLY_STRIPPED,INFORMAL_KABADIWALA,HIGH,54.0,kg
MAT_0064,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Small Lead-Acid SMF Battery (UPS),12V 7Ah sealed maintenance-free lead battery,assets/materials/cat_battery_0064.jpg,2.1,SCRAP_BULK,COMMERCIAL_OFFICE,HIGH,54.0,kg
MAT_0065,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lithium-Ion Smartphone Batteries,Li-Cobalt / Li-Polymer flat pouch phone battery cells,assets/materials/cat_battery_0065.jpg,0.08,INTACT,HOUSEHOLD_COLLECTION,HIGH,120.0,kg
MAT_0066,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lithium-Ion Smartphone Batteries,Li-Cobalt / Li-Polymer flat pouch phone battery cells,assets/materials/cat_battery_0066.jpg,0.08,DAMAGED,LOCAL_AGGREGATOR,HIGH,102.0,kg
MAT_0067,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lithium-Ion Smartphone Batteries,Li-Cobalt / Li-Polymer flat pouch phone battery cells,assets/materials/cat_battery_0067.jpg,0.08,PARTIALLY_STRIPPED,COMMERCIAL_OFFICE,HIGH,90.0,kg
MAT_0068,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Lithium-Ion Smartphone Batteries,Li-Cobalt / Li-Polymer flat pouch phone battery cells,assets/materials/cat_battery_0068.jpg,0.08,SCRAP_BULK,HOUSEHOLD_COLLECTION,HIGH,90.0,kg
MAT_0069,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Laptop Li-Ion 18650 Battery Pack,Multi-cell laptop battery cylinder pack,assets/materials/cat_battery_0069.jpg,0.32,INTACT,LOCAL_AGGREGATOR,HIGH,110.0,kg
MAT_0070,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Laptop Li-Ion 18650 Battery Pack,Multi-cell laptop battery cylinder pack,assets/materials/cat_battery_0070.jpg,0.32,DAMAGED,INFORMAL_KABADIWALA,HIGH,93.5,kg
MAT_0071,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),बॅटरी (लेड-अ‍ॅसिड इन्व्हर्टर / लिथियम मोबाईल),बैटरी (लेड-एसिड इन्वर्टर / लिथियम मोबाइल),Laptop Li-Ion 18650 Battery Pack,Multi-cell laptop battery cylinder pack,assets/materials/cat_battery_0071.jpg,0.32,PARTIALLY_STRIPPED,COMMERCIAL_OFFICE,HIGH,82.5,kg
