price_id,category_id,sub_category,location,recorded_at,prevailing_buying_price,selling_quoted_price,unit_of_measurement,market_range_min,market_range_max,recycler_id,source_type
PRC_00058,CAT_PCB,Standard Printed Circuit Boards (PCBs),Thane - Wagle Estate,2025-10-21T00:00:00+00:00,179.05,259.79,kg,161.15,298.76,N/A,field
PRC_00059,CAT_PCB,Standard Printed Circuit Boards (PCBs),Thane - Wagle Estate,2026-03-03T00:00:00+00:00,183.3,266.55,kg,164.97,306.53,REC_MH_PUNE_GREEN_006,recycler
PRC_00060,CAT_PCB,Standard Printed Circuit Boards (PCBs),Thane - Wagle Estate,2026-01-27T00:00:00+00:00,181.98,261.08,kg,163.78,300.24,N/A,synthetic
PRC_00061,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Bhosari MIDC,2025-10-11T00:00:00+00:00,181.02,256.97,kg,162.92,295.52,N/A,field
PRC_00062,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Bhosari MIDC,2026-02-09T00:00:00+00:00,181.07,263.72,kg,162.96,303.28,REC_MH_ECORECO_001,recycler
PRC_00063,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Bhosari MIDC,2025-12-06T00:00:00+00:00,180.35,263.1,kg,162.31,302.56,N/A,synthetic
PRC_00064,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Swargate,2025-10-09T00:00:00+00:00,178.3,257.96,kg,160.47,296.65,N/A,field
PRC_00065,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Swargate,2025-11-23T00:00:00+00:00,182.12,266.68,kg,163.91,306.68,REC_MH_THANE_AGGR_008,recycler
PRC_00066,CAT_PCB,Standard Printed Circuit Boards (PCBs),Pune - Swargate,2025-12-19T00:00:00+00:00,181.5,263.37,kg,163.35,302.88,N/A,synthetic
PRC_00067,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nashik - Sinnar MIDC,2025-10-27T00:00:00+00:00,178.01,259.21,kg,160.21,298.09,N/A,field
PRC_00068,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nashik - Sinnar MIDC,2025-12-16T00:00:00+00:00,181.22,267.12,kg,163.1,307.19,REC_MH_THANE_AGGR_008,recycler
PRC_00069,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nashik - Sinnar MIDC,2025-11-23T00:00:00+00:00,179.26,261.07,kg,161.33,300.23,N/A,synthetic
PRC_00070,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nagpur - Butibori MIDC,2025-09-26T00:00:00+00:00,179.86,259.15,kg,161.87,298.02,N/A,field
PRC_00071,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nagpur - Butibori MIDC,2025-09-13T00:00:00+00:00,184.07,260.57,kg,165.66,299.66,REC_MH_PUNE_GREEN_006,recycler
PRC_00072,CAT_PCB,Standard Printed Circuit Boards (PCBs),Nagpur - Butibori MIDC,2025-09-19T00:00:00+00:00,179.69,263.33,kg,161.72,302.83,N/A,synthetic
PRC_00073,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Dharavi Hub,2025-10-05T00:00:00+00:00,240.39,316.81,kg,216.35,364.33,N/A,field
PRC_00074,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Dharavi Hub,2026-01-07T00:00:00+00:00,241.38,326.59,kg,217.24,375.58,REC_MH_ECORECO_001,recycler
PRC_00075,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Dharavi Hub,2025-12-11T00:00:00+00:00,239.87,321.54,kg,215.88,369.77,N/A,synthetic
PRC_00076,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Kurla Industrial,2025-12-04T00:00:00+00:00,239.73,316.0,kg,215.76,363.4,N/A,field
PRC_00077,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Kurla Industrial,2026-01-26T00:00:00+00:00,242.85,322.45,kg,218.56,370.82,REC_MH_RECYCLEKARO_004,recycler
PRC_00078,CAT_CABLES,Standard Copper Cables & Wires,Mumbai - Kurla Industrial,2026-01-20T00:00:00+00:00,242.88,323.09,kg,218.59,371.55,N/A,synthetic
PRC_00079,CAT_CABLES,Standard Copper Cables & Wires,Navi Mumbai - TTC Mahape,2025-10-04T00:00:00+00:00,240.46,317.56,kg,216.41,365.19,N/A,field
PRC_00080,CAT_CABLES,Standard Copper Cables & Wires,Navi Mumbai - TTC Mahape,2025-10-20T00:00:00+00:00,242.72,321.56,kg,218.45,369.79,REC_MH_EINCARNATION_002,recycler
PRC_00081,CAT_CABLES,Standard Copper Cables & Wires,Navi Mumbai - TTC Mahape,2025-12-07T00:00:00+00:00,241.32,324.14,kg,217.19,372.76,N/A,synthetic
PRC_00082,CAT_CABLES,Standard Copper Cables & Wires,Thane - Wagle Estate,2025-11-20T00:00:00+00:00,241.11,316.57,kg,217.0,364.06,N/A,field
PRC_00083,CAT_CABLES,Standard Copper Cables & Wires,Thane - Wagle Estate,2026-01-01T00:00:00+00:00,240.64,320.3,kg,216.58,368.34,REC_MH_EINCARNATION_002,recycler
PRC_00084,CAT_CABLES,Standard Copper Cables & Wires,Thane - Wagle Estate,2025-10-16T00:00:00+00:00,242.09,320.34,kg,217.88,368.39,N/A,synthetic
PRC_00085,CAT_CABLES,Standard Copper Cables & Wires,Pune - Bhosari MIDC,2025-10-27T00:00:00+00:00,237.12,318.78,kg,213.41,366.6,N/A,field
PRC_00086,CAT_CABLES,Standard Copper Cables & Wires,Pune - Bhosari MIDC,2025-10-02T00:00:00+00:00,242.13,323.61,kg,217.92,372.15,REC_MH_RECYCLEKARO_004,recycler
PRC_00087,CAT_CABLES,Standard Copper Cables & Wires,Pune - Bhosari MIDC,2025-10-05T00:00:00+00:00,239.96,317.87,kg,215.96,365.55,N/A,synthetic
PRC_00088,CAT_CABLES,Standard Copper Cables & Wires,Pune - Swargate,2026-02-01T00:00:00+00:00,237.03,321.11,kg,213.33,369.28,N/A,field
PRC_00089,CAT_CABLES,Standard Copper Cables & Wires,Pune - Swargate,2026-02-04T00:00:00+00:00,243.94,323.95,kg,219.55,372.54,REC_MH_THANE_AGGR_008,recycler
PRC_00090,CAT_CABLES,Standard Copper Cables & Wires,Pune - Swargate,2026-03-10T00:00:00+00:00,241.71,323.29,kg,217.54,371.78,N/A,synthetic
PRC_00091,CAT_CABLES,Standard Copper Cables & Wires,Nashik - Sinnar MIDC,2025-11-23T00:00:00+00:00,236.94,315.22,kg,213.25,362.5,N/A,field
PRC_00092,CAT_CABLES,Standard Copper Cables & Wires,Nashik - Sinnar MIDC,2026-01-26T00:00:00+00:00,245.32,324.23,kg,220.79,372.86,REC_MH_ATTERO_003,recycler
PRC_00093,CAT_CABLES,Standard Copper Cables & Wires,Nashik - Sinnar MIDC,2025-11-15T00:00:00+00:00,242.36,323.21,kg,218.12,371.69,N/A,synthetic
PRC_00094,CAT_CABLES,Standard Copper Cables & Wires,Nagpur - Butibori MIDC,2026-01-29T00:00:00+00:00,238.06,317.65,kg,214.25,365.3,N/A,field
PRC_00095,CAT_CABLES,Standard Copper Cables & Wires,Nagpur - Butibori MIDC,2026-01-05T00:00:00+00:00,243.28,321.13,kg,218.95,369.3,REC_MH_PUNE_GREEN_006,recycler
PRC_00096,CAT_CABLES,Standard Copper Cables & Wires,Nagpur - Butibori MIDC,2025-09-20T00:00:00+00:00,239.86,322.22,kg,215.87,370.55,N/A,synthetic
PRC_00097,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Dharavi Hub,2025-09-28T00:00:00+00:00,75.92,100.36,kg,68.33,115.41,N/A,field
PRC_00098,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Dharavi Hub,2026-01-28T00:00:00+00:00,79.95,105.73,kg,71.95,121.59,REC_MH_ATTERO_003,recycler
PRC_00099,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Dharavi Hub,2025-11-17T00:00:00+00:00,75.83,107.64,kg,68.25,123.79,N/A,synthetic
PRC_00100,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Kurla Industrial,2025-10-16T00:00:00+00:00,73.07,100.51,kg,65.76,115.59,N/A,field
PRC_00101,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Kurla Industrial,2025-10-14T00:00:00+00:00,76.26,110.48,kg,68.63,127.05,REC_MH_EINCARNATION_002,recycler
PRC_00102,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Mumbai - Kurla Industrial,2025-09-27T00:00:00+00:00,75.55,106.58,kg,68.0,122.57,N/A,synthetic
PRC_00103,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Navi Mumbai - TTC Mahape,2025-09-29T00:00:00+00:00,74.98,105.43,kg,67.48,121.24,N/A,field
PRC_00104,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Navi Mumbai - TTC Mahape,2025-10-07T00:00:00+00:00,80.31,105.39,kg,72.28,121.2,REC_MH_THANE_AGGR_008,recycler
PRC_00105,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Navi Mumbai - TTC Mahape,2026-03-06T00:00:00+00:00,74.58,109.48,kg,67.12,125.9,N/A,synthetic
PRC_00106,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Thane - Wagle Estate,2025-10-15T00:00:00+00:00,71.84,100.8,kg,64.66,115.92,N/A,field
PRC_00107,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Thane - Wagle Estate,2025-09-30T00:00:00+00:00,77.4,106.6,kg,69.66,122.59,REC_MH_EINCARNATION_002,recycler
PRC_00108,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Thane - Wagle Estate,2025-12-16T00:00:00+00:00,77.1,109.54,kg,69.39,125.97,N/A,synthetic
PRC_00109,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Bhosari MIDC,2025-11-05T00:00:00+00:00,76.41,101.89,kg,68.77,117.17,N/A,field
PRC_00110,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Bhosari MIDC,2026-01-28T00:00:00+00:00,77.71,110.75,kg,69.94,127.36,REC_MH_EINCARNATION_002,recycler
PRC_00111,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Bhosari MIDC,2026-01-29T00:00:00+00:00,73.73,108.55,kg,66.36,124.83,N/A,synthetic
PRC_00112,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Swargate,2025-11-01T00:00:00+00:00,74.81,103.29,kg,67.33,118.78,N/A,field
PRC_00113,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Swargate,2025-11-01T00:00:00+00:00,77.58,111.6,kg,69.82,128.34,REC_MH_EINCARNATION_002,recycler
PRC_00114,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Pune - Swargate,2026-03-12T00:00:00+00:00,73.94,105.6,kg,66.55,121.44,N/A,synthetic
PRC_00115,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nashik - Sinnar MIDC,2025-10-08T00:00:00+00:00,73.03,103.35,kg,65.73,118.85,N/A,field
PRC_00116,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nashik - Sinnar MIDC,2025-12-09T00:00:00+00:00,76.92,110.1,kg,69.23,126.61,REC_MH_THANE_AGGR_008,recycler
PRC_00117,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nashik - Sinnar MIDC,2025-12-26T00:00:00+00:00,77.15,105.77,kg,69.44,121.64,N/A,synthetic
PRC_00118,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nagpur - Butibori MIDC,2025-11-24T00:00:00+00:00,73.16,105.83,kg,65.84,121.7,N/A,field
PRC_00119,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nagpur - Butibori MIDC,2026-02-12T00:00:00+00:00,77.28,106.96,kg,69.55,123.0,REC_MH_PUNE_GREEN_006,recycler
PRC_00120,CAT_BATTERY,Standard Batteries (Lead-Acid & Li-Ion),Nagpur - Butibori MIDC,2025-10-30T00:00:00+00:00,73.56,106.46,kg,66.2,122.43,N/A,synthetic
PRC_00121,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Dharavi Hub,2026-02-03T00:00:00+00:00,35.33,45.8,kg,31.8,52.67,N/A,field
PRC_00122,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Dharavi Hub,2025-10-19T00:00:00+00:00,38.79,50.63,kg,34.91,58.22,REC_MH_PUNE_GREEN_006,recycler
PRC_00123,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Dharavi Hub,2025-12-10T00:00:00+00:00,35.71,52.26,kg,32.14,60.1,N/A,synthetic
PRC_00124,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Kurla Industrial,2025-11-22T00:00:00+00:00,36.13,44.63,kg,32.52,51.32,N/A,field
PRC_00125,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Kurla Industrial,2026-02-06T00:00:00+00:00,36.18,50.09,kg,32.56,57.6,REC_MH_PUNE_GREEN_006,recycler
PRC_00126,CAT_MOTORS,Standard Motors & Magnet Assemblies,Mumbai - Kurla Industrial,2026-01-05T00:00:00+00:00,38.09,47.01,kg,34.28,54.06,N/A,synthetic
PRC_00127,CAT_MOTORS,Standard Motors & Magnet Assemblies,Navi Mumbai - TTC Mahape,2025-09-07T00:00:00+00:00,32.39,47.55,kg,29.15,54.68,N/A,field
PRC_00128,CAT_MOTORS,Standard Motors & Magnet Assemblies,Navi Mumbai - TTC Mahape,2025-11-29T00:00:00+00:00,40.18,53.9,kg,36.16,61.98,REC_MH_ECORECO_001,recycler
PRC_00129,CAT_MOTORS,Standard Motors & Magnet Assemblies,Navi Mumbai - TTC Mahape,2026-02-19T00:00:00+00:00,36.36,48.55,kg,32.72,55.83,N/A,synthetic
PRC_00130,CAT_MOTORS,Standard Motors & Magnet Assemblies,Thane - Wagle Estate,2025-11-23T00:00:00+00:00,36.14,48.01,kg,32.53,55.21,N/A,field
PRC_00131,CAT_MOTORS,Standard Motors & Magnet Assemblies,Thane - Wagle Estate,2025-12-23T00:00:00+00:00,36.69,49.9,kg,33.02,57.38,REC_MH_THANE_AGGR_008,recycler
PRC_00132,CAT_MOTORS,Standard Motors & Magnet Assemblies,Thane - Wagle Estate,2025-10-20T00:00:00+00:00,37.87,48.75,kg,34.08,56.06,N/A,synthetic
PRC_00133,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Bhosari MIDC,2025-09-29T00:00:00+00:00,32.48,48.01,kg,29.23,55.21,N/A,field
PRC_00134,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Bhosari MIDC,2026-02-21T00:00:00+00:00,35.87,49.91,kg,32.28,57.4,REC_MH_RECYCLEKARO_004,recycler
PRC_00135,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Bhosari MIDC,2025-12-20T00:00:00+00:00,34.73,51.13,kg,31.26,58.8,N/A,synthetic
PRC_00136,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Swargate,2026-02-07T00:00:00+00:00,34.18,46.53,kg,30.76,53.51,N/A,field
PRC_00137,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Swargate,2025-10-06T00:00:00+00:00,35.6,54.2,kg,32.04,62.33,REC_MH_PUNE_GREEN_006,recycler
PRC_00138,CAT_MOTORS,Standard Motors & Magnet Assemblies,Pune - Swargate,2026-02-04T00:00:00+00:00,35.0,47.48,kg,31.5,54.6,N/A,synthetic
PRC_00139,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nashik - Sinnar MIDC,2025-09-12T00:00:00+00:00,32.3,46.49,kg,29.07,53.46,N/A,field
PRC_00140,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nashik - Sinnar MIDC,2025-11-01T00:00:00+00:00,39.01,53.43,kg,35.11,61.44,REC_MH_EINCARNATION_002,recycler
PRC_00141,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nashik - Sinnar MIDC,2025-09-16T00:00:00+00:00,35.11,49.65,kg,31.6,57.1,N/A,synthetic
PRC_00142,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nagpur - Butibori MIDC,2025-12-17T00:00:00+00:00,31.52,48.47,kg,28.37,55.74,N/A,field
PRC_00143,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nagpur - Butibori MIDC,2026-01-12T00:00:00+00:00,37.98,54.06,kg,34.18,62.17,REC_MH_EINCARNATION_002,recycler
PRC_00144,CAT_MOTORS,Standard Motors & Magnet Assemblies,Nagpur - Butibori MIDC,2025-11-12T00:00:00+00:00,35.01,49.93,kg,31.51,57.42,N/A,synthetic
PRC_00145,CAT_PLASTICS,Standard Mixed E-Waste Plastics (ABS / HIPS),Mumbai - Dharavi Hub,2025-09-19T00:00:00+00:00,18.27,23.96,kg,16.44,27.55,N/A,field
