log_id,lot_id,image_hash,tflite_predicted_category,tflite_confidence_score,collector_confirmed_category,collector_language,feedback_action,timestamp_utc,retraining_eligible
FLW_2026_0012,LOT_2026_0053,2ba159630f850031e60c4943f3e089cf369498f76339ded8404897f1df0a431c,CAT_MOTORS,0.916,CAT_MOTORS,hi,ACCEPTED_AS_SUGGESTED,2026-02-02T00:00:00+00:00,True
FLW_2026_0013,LOT_2026_0010,fbb41a8a2d70e98d932db5c697f1654ff381976696d7ddb7d8330e129d141ada,CAT_BATTERY,0.816,CAT_BATTERY,hi,ACCEPTED_AS_SUGGESTED,2025-12-27T00:00:00+00:00,True
FLW_2026_0014,LOT_2026_0023,320be494b1c8eecd266a4a9b2338107651978b244e4694f4e19add6a06f49193,CAT_PCB,0.766,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2026-01-11T00:00:00+00:00,True
FLW_2026_0015,LOT_2026_0089,adb8265a95c2c1c794d82e404be7518403988f26ab5c40d0b241ab35b561b3b6,CAT_BATTERY,0.83,CAT_BATTERY,mr,ACCEPTED_AS_SUGGESTED,2025-10-16T00:00:00+00:00,True
FLW_2026_0016,LOT_2026_0037,2801149faa11297762ae81c9da2b02c5c652b48a44b0a4c3100517f3bcd76d8a,CAT_MOTORS,0.806,CAT_OTHER,hi,CORRECTED_BY_COLLECTOR,2026-02-16T00:00:00+00:00,True
FLW_2026_0017,LOT_2026_0053,6262c86e18356fc4b5d2f196b1de9daa50f5749483956007ff9f0a19cbab8c10,CAT_BATTERY,0.914,CAT_BATTERY,hi,ACCEPTED_AS_SUGGESTED,2025-11-12T00:00:00+00:00,True
FLW_2026_0018,LOT_2026_0044,eb1611bce9a4ac6bd0f8c124fed55231ac28a244299003b6b5e890b869d64fdb,CAT_LCD_LED,0.786,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2026-01-08T00:00:00+00:00,True
FLW_2026_0019,LOT_2026_0034,2d853802b062d97d8bed286b04ccb91f3d1a1c894f4752793c51041f41381691,CAT_PLASTICS,0.862,CAT_PLASTICS,mr,ACCEPTED_AS_SUGGESTED,2026-01-03T00:00:00+00:00,True
FLW_2026_0020,LOT_2026_0052,7d4b5efe780b08637cdc6cf722adb64ae738323d5bf145be62afca17c101d62f,CAT_CABLES,0.679,CAT_CABLES,mr,ACCEPTED_AS_SUGGESTED,2025-12-31T00:00:00+00:00,True
FLW_2026_0021,LOT_2026_0062,13e1dece4f3c40c3c61cf89072bb5c3a988104d4ffd003cdf2a4cdc07ee7fe54,CAT_PLASTICS,0.866,CAT_OTHER,hi,CORRECTED_BY_COLLECTOR,2026-01-12T00:00:00+00:00,True
FLW_2026_0022,LOT_2026_0040,bdeb8533bfc0a1d080345283b368e57beb075fbe1ea8efa362734dd95b32c8c4,CAT_BATTERY,0.902,CAT_BATTERY,mr,ACCEPTED_AS_SUGGESTED,2026-01-16T00:00:00+00:00,True
FLW_2026_0023,LOT_2026_0045,d0b98716716dee2dd0657a2748273a175a5c2eb5463ff6a9819d0826a75b9dee,CAT_BATTERY,0.775,CAT_BATTERY,mr,ACCEPTED_AS_SUGGESTED,2026-01-15T00:00:00+00:00,True
FLW_2026_0024,LOT_2026_0047,500bc3b75c223aa83bfbcd22ff9077a0d11b2e57f98b84fffb61dc4be2204a6e,CAT_OTHER,0.742,CAT_OTHER,hi,ACCEPTED_AS_SUGGESTED,2025-11-03T00:00:00+00:00,True
FLW_2026_0025,LOT_2026_0055,b8fc7c1aa08aec169649f028bbb627e1abc2269715e6e1718597fa75ad7aedcb,CAT_MOTORS,0.748,CAT_MOTORS,mr,ACCEPTED_AS_SUGGESTED,2026-01-14T00:00:00+00:00,True
FLW_2026_0026,LOT_2026_0042,88e5294c2af3821d083afe2ad4c381a63e0af8e93ac9be9d448a0f5fc1029be9,CAT_PCB,0.726,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2026-02-27T00:00:00+00:00,True
FLW_2026_0027,LOT_2026_0033,a4b3586b4beb5f91c12fbe66bd1b7ff656862ab8c7a33b721ba3feedc43a2ac5,CAT_MOTORS,0.807,CAT_MOTORS,mr,ACCEPTED_AS_SUGGESTED,2026-02-17T00:00:00+00:00,True
FLW_2026_0028,LOT_2026_0015,8f1915646bf94c8e7d2e9d33f017b175981e1af6342889ab5bdb08216bc86566,CAT_OTHER,0.944,CAT_OTHER,hi,ACCEPTED_AS_SUGGESTED,2025-11-10T00:00:00+00:00,True
FLW_2026_0029,LOT_2026_0049,7816780ba940fb11181b17ce3738d96d8a0f98d7175b6e6a64f18370372588d2,CAT_MOTORS,0.697,CAT_CRT,hi,CORRECTED_BY_COLLECTOR,2025-10-12T00:00:00+00:00,True
FLW_2026_0030,LOT_2026_0099,a493a795ab5f77392018033413bca3c43d4e3ec42b3ba6478719d4eb6d8bdfd8,CAT_MOTORS,0.789,CAT_MOTORS,hi,ACCEPTED_AS_SUGGESTED,2026-01-23T00:00:00+00:00,True
FLW_2026_0031,LOT_2026_0039,bc4453495c0a1beb4664d6584050a0f684ed00714ff81084ebf5a985fd253430,CAT_MOTORS,0.728,CAT_MOTORS,hi,ACCEPTED_AS_SUGGESTED,2025-10-05T00:00:00+00:00,True
FLW_2026_0032,LOT_2026_0092,8bd0dd2460f9a9bcc40b8cc531af9d89f201484f49edade54831ff14cc421cbd,CAT_PCB,0.826,CAT_LCD_LED,hi,CORRECTED_BY_COLLECTOR,2025-11-15T00:00:00+00:00,True
FLW_2026_0033,LOT_2026_0015,44d8ad5a6d2c2dd1be5b5bd6f2810c6bae8119059b60206a76eedfc08bee821d,CAT_LCD_LED,0.681,CAT_CABLES,mr,CORRECTED_BY_COLLECTOR,2025-12-28T00:00:00+00:00,True
FLW_2026_0034,LOT_2026_0069,b57b845c4b2fd57533a816e68f7aa1b6bca4a7d5c8d04908fce2a7bebfa74137,CAT_PLASTICS,0.82,CAT_PLASTICS,hi,ACCEPTED_AS_SUGGESTED,2026-02-02T00:00:00+00:00,True
FLW_2026_0035,LOT_2026_0069,6cd1f0cf9c1e5726ee7e0a78d8ddd08aa33ea48c22bec6b57e5573e5e7ef1d17,CAT_PCB,0.744,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2026-02-04T00:00:00+00:00,True
FLW_2026_0036,LOT_2026_0038,842adb6480d4c94f1ebefeb47177a09178e43d5925cc4f518bf339d59342e77e,CAT_PCB,0.949,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2025-11-14T00:00:00+00:00,True
FLW_2026_0037,LOT_2026_0075,8ad248c9aa6eb998e124cd2069fb367a83ef7f0850437f17412b7ce80176b4e6,CAT_LCD_LED,0.89,CAT_LCD_LED,mr,ACCEPTED_AS_SUGGESTED,2025-11-24T00:00:00+00:00,True
FLW_2026_0038,LOT_2026_0075,4d6ff4b4c8b0b1ca4fc3cff4b44edcf97772763405339275e3d2c0afe7c5c665,CAT_CABLES,0.94,CAT_CABLES,hi,ACCEPTED_AS_SUGGESTED,2025-11-16T00:00:00+00:00,True
FLW_2026_0039,LOT_2026_0078,ef0804dbb130841d41031ad36129e96da77454984391a779c4ead4632bb7a4c4,CAT_CRT,0.717,CAT_CRT,mr,ACCEPTED_AS_SUGGESTED,2025-10-14T00:00:00+00:00,True
FLW_2026_0040,LOT_2026_0014,26f7c03c20df0ff3005bfc2eb50ba51ac0b290b7564dba27ca1ce9f6605a9e40,CAT_PLASTICS,0.68,CAT_PLASTICS,hi,ACCEPTED_AS_SUGGESTED,2026-02-04T00:00:00+00:00,True
FLW_2026_0041,LOT_2026_0067,ba7b3fd20376186e999b038e2f4d9f02cdb81c035e58cc977708d20c2afbbade,CAT_CRT,0.933,CAT_CRT,hi,ACCEPTED_AS_SUGGESTED,2025-11-18T00:00:00+00:00,True
FLW_2026_0042,LOT_2026_0085,395211fb97bd0c23e0fc5ffd3fbf7c1680fc21a513ad8bb6ad5fa9f34e799fda,CAT_MOTORS,0.905,CAT_MOTORS,hi,ACCEPTED_AS_SUGGESTED,2026-01-01T00:00:00+00:00,True
FLW_2026_0043,LOT_2026_0084,cb9221d8ae4eddf709d6a4dc297591065c2c344c0cd8efe95af51913eccb3b87,CAT_CABLES,0.927,CAT_CABLES,hi,ACCEPTED_AS_SUGGESTED,2026-02-10T00:00:00+00:00,True
FLW_2026_0044,LOT_2026_0090,30f9a4313183fa446a6d57449631a56c54ccb2d1f196645fb8f242a05b4e7417,CAT_PCB,0.722,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2026-01-25T00:00:00+00:00,True
FLW_2026_0045,LOT_2026_0062,819266b8f90f646be5c1624be6fa4cb3da485e33d3f88c27591163b13dfd76f3,CAT_BATTERY,0.722,CAT_CABLES,mr,CORRECTED_BY_COLLECTOR,2026-01-24T00:00:00+00:00,True
FLW_2026_0046,LOT_2026_0048,55213eb4d5170e9a2ee4d5bfbe6b8ed7d4412cb7da18f58d48ea60524860dbc1,CAT_CABLES,0.865,CAT_CABLES,hi,ACCEPTED_AS_SUGGESTED,2026-02-27T00:00:00+00:00,True
FLW_2026_0047,LOT_2026_0013,ddfdb68babcede554f2f2e7a82f6ea2cc70eb6a4b2c9c0197ce7a68400295d18,CAT_MOTORS,0.851,CAT_MOTORS,mr,ACCEPTED_AS_SUGGESTED,2026-01-10T00:00:00+00:00,True
FLW_2026_0048,LOT_2026_0097,edb0a366828ca88eed6a4ee2784c802128f5c0424d3577d31c374a03424eca06,CAT_CABLES,0.721,CAT_LCD_LED,hi,CORRECTED_BY_COLLECTOR,2026-01-13T00:00:00+00:00,True
FLW_2026_0049,LOT_2026_0085,09ff78b83085df47b5b702b689e26a22106c7cc479ef426b6d891e90d5c89603,CAT_BATTERY,0.779,CAT_BATTERY,mr,ACCEPTED_AS_SUGGESTED,2025-10-19T00:00:00+00:00,True
FLW_2026_0050,LOT_2026_0083,0c3f1bf14d119d680a2c1ae6e44134e2f8960d082e05babaeabbc24b756b8f47,CAT_PCB,0.852,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2026-02-21T00:00:00+00:00,True
FLW_2026_0051,LOT_2026_0013,eac03e1e79f90e017839d50bb576603854c2e6dd57cf109afe7dbdf3a4749bbc,CAT_LCD_LED,0.732,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2025-10-04T00:00:00+00:00,True
FLW_2026_0052,LOT_2026_0091,9f659edef8bcd97c21aa54726f26717888961aa812632fec8fd31f11d6132adb,CAT_PCB,0.815,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2025-11-26T00:00:00+00:00,True
FLW_2026_0053,LOT_2026_0054,20fa2d128e66c2e4172d51dd6c5f5dfabfa1af23c0ca34e21a305280dee1f3d5,CAT_LCD_LED,0.744,CAT_LCD_LED,mr,ACCEPTED_AS_SUGGESTED,2025-10-10T00:00:00+00:00,True
FLW_2026_0054,LOT_2026_0066,14a9d8c51cdbbb2b68a48a908b81d7bf366c063f7f1ecc5751c8342b3019e5b3,CAT_CRT,0.829,CAT_MOTORS,hi,CORRECTED_BY_COLLECTOR,2025-10-03T00:00:00+00:00,True
FLW_2026_0055,LOT_2026_0048,7d65c9cc657a7e1df9ec984c5d2cb330b3bb52b4ac8a7fa6f50ec98af68b5a82,CAT_PCB,0.908,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2025-12-16T00:00:00+00:00,True
FLW_2026_0056,LOT_2026_0014,a10a0337ea9a0414c40e6deb78b6e5ff3a2c32e0d4a84d3f6fb8330022c2b465,CAT_PLASTICS,0.871,CAT_CRT,mr,CORRECTED_BY_COLLECTOR,2025-11-27T00:00:00+00:00,True
FLW_2026_0057,LOT_2026_0036,987f26903d78420ffb625d5365152b6512962c4ed0b47799c1059b20d8ab1a4c,CAT_LCD_LED,0.766,CAT_LCD_LED,mr,ACCEPTED_AS_SUGGESTED,2026-01-20T00:00:00+00:00,True
FLW_2026_0058,LOT_2026_0009,9293309c3666afaadbb4ff5a330eda1ebd8bc2cc1d7e4eaa0edae660ff3f3769,CAT_PCB,0.651,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2025-12-02T00:00:00+00:00,True
FLW_2026_0059,LOT_2026_0033,e9563bd0dffddf9454d39b54c7e813da081225576397a379b5f97ec3d06ea652,CAT_OTHER,0.71,CAT_OTHER,mr,ACCEPTED_AS_SUGGESTED,2026-02-12T00:00:00+00:00,True
FLW_2026_0060,LOT_2026_0053,c416eb093ed0f5e7d45bce5342154a9026dec88695c8d11411798be4c1ac5dd7,CAT_OTHER,0.837,CAT_OTHER,mr,ACCEPTED_AS_SUGGESTED,2025-10-24T00:00:00+00:00,True
FLW_2026_0061,LOT_2026_0080,1a777b783725a84d4112ac7f936271b9c5715dd01e236f96440803d9d7170760,CAT_BATTERY,0.916,CAT_BATTERY,hi,ACCEPTED_AS_SUGGESTED,2026-02-12T00:00:00+00:00,True
FLW_2026_0062,LOT_2026_0069,b3e4f2a02dabca8e7b5dde21e23206111d041d7c938b5e23dcbcf4a29a9b8166,CAT_PCB,0.819,CAT_PLASTICS,mr,CORRECTED_BY_COLLECTOR,2026-02-03T00:00:00+00:00,True
FLW_2026_0063,LOT_2026_0029,872b6e8762f6e466f04b85699a2b8fb6a27f68aaf977ee9d4dd32ec11cb9a589,CAT_CABLES,0.71,CAT_CABLES,mr,ACCEPTED_AS_SUGGESTED,2026-02-17T00:00:00+00:00,True
FLW_2026_0064,LOT_2026_0065,73c1a46170405b9efda96b182678667dc9417d7212e95d067f8e94df33a04e81,CAT_PLASTICS,0.957,CAT_PLASTICS,mr,ACCEPTED_AS_SUGGESTED,2025-11-13T00:00:00+00:00,True
FLW_2026_0065,LOT_2026_0047,dcf1d5a01dce7988b6f2c9f39ae773d0f4a29c055eb7d010357e61a6e82ac1d8,CAT_BATTERY,0.834,CAT_BATTERY,hi,ACCEPTED_AS_SUGGESTED,2025-12-03T00:00:00+00:00,True
FLW_2026_0066,LOT_2026_0058,3753249000fd9a5e2a59509c8ccc279c190593cef268f15a30bd62baad66ecb8,CAT_CABLES,0.701,CAT_CABLES,mr,ACCEPTED_AS_SUGGESTED,2025-10-30T00:00:00+00:00,True
FLW_2026_0067,LOT_2026_0062,debb4abe4cc864e126326ac470a74bb41389a02bf2857bd4ab6a20a8cb7098cc,CAT_PLASTICS,0.948,CAT_OTHER,hi,CORRECTED_BY_COLLECTOR,2026-01-29T00:00:00+00:00,True
FLW_2026_0068,LOT_2026_0085,f9360018ae77785c4f915966adc9f2ee92821a73051c578534ee665998442e3c,CAT_BATTERY,0.737,CAT_BATTERY,hi,ACCEPTED_AS_SUGGESTED,2025-12-27T00:00:00+00:00,True
FLW_2026_0069,LOT_2026_0008,a4d5f2f0721075cedc53d50f82f4eab9766c2fc8b0ff06632bf05f0f58d13f8a,CAT_CRT,0.749,CAT_CRT,mr,ACCEPTED_AS_SUGGESTED,2025-12-19T00:00:00+00:00,True
FLW_2026_0070,LOT_2026_0001,2c750fa53af27b4e7f346892f8409cfc9fd9aa6d0fb725c0a81c98fc51c4330d,CAT_PCB,0.842,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2025-11-21T00:00:00+00:00,True
FLW_2026_0071,LOT_2026_0099,188c4333e06f4697b521ff43b1a92ae8829005cbb6d39d329530120e6b61988d,CAT_PCB,0.674,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2026-02-22T00:00:00+00:00,True
FLW_2026_0072,LOT_2026_0086,604dc6fe854dc3a363158dcadae96b59c860f5523f883e088e6eff0e12867add,CAT_LCD_LED,0.949,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2026-01-02T00:00:00+00:00,True
FLW_2026_0073,LOT_2026_0099,4edfae0dde183be62450a083fca34696a3093c2bd1cca045300ecdff6430e187,CAT_PCB,0.809,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2025-11-08T00:00:00+00:00,True
FLW_2026_0074,LOT_2026_0007,42b9b45a08ee86d3dc4e9baee87533c6aeb5d1d89ac16299f5021a8f493d41c0,CAT_CABLES,0.671,CAT_CABLES,hi,ACCEPTED_AS_SUGGESTED,2025-11-14T00:00:00+00:00,True
FLW_2026_0075,LOT_2026_0065,3d4f9152994b65817718b778af6fb9dd87bf3ee10ba70e85329588f9f645378d,CAT_OTHER,0.81,CAT_OTHER,mr,ACCEPTED_AS_SUGGESTED,2026-01-15T00:00:00+00:00,True
FLW_2026_0076,LOT_2026_0009,c7c9c7f63f52d36983d701a305c9e792b909d1589547e20c66dda76908a5df02,CAT_CABLES,0.723,CAT_CRT,mr,CORRECTED_BY_COLLECTOR,2025-10-03T00:00:00+00:00,True
FLW_2026_0077,LOT_2026_0028,5a02ee74e27b631ffeac705003c5ad702bed5962ffbc31769b3ecabbc17202ba,CAT_MOTORS,0.921,CAT_PLASTICS,hi,CORRECTED_BY_COLLECTOR,2025-10-23T00:00:00+00:00,True
FLW_2026_0078,LOT_2026_0072,0200f2740047c5eb46731166fbba52da19960f5dc394beed738f4339d333d46d,CAT_LCD_LED,0.91,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2025-12-28T00:00:00+00:00,True
FLW_2026_0079,LOT_2026_0093,776d897ab4b686e3f6797edc478d256fe4b3949b18f11f31ceef1abf0c897d60,CAT_PCB,0.702,CAT_PCB,hi,ACCEPTED_AS_SUGGESTED,2025-10-25T00:00:00+00:00,True
FLW_2026_0080,LOT_2026_0002,aad7ee6f2800364e007de197bb7bb574288e7901e9161c010f15cb5cbb3226ea,CAT_PCB,0.676,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2026-02-16T00:00:00+00:00,True
FLW_2026_0081,LOT_2026_0083,cce31d7b2a6e20f265a3b2c432dc0135801ca0ce39c6a83cf24c708d9d76ae31,CAT_LCD_LED,0.848,CAT_LCD_LED,mr,ACCEPTED_AS_SUGGESTED,2026-01-29T00:00:00+00:00,True
FLW_2026_0082,LOT_2026_0021,8bd5a6762c8423b624d7805c66c421118de8fc0ea7970bdc1d8210957664ae89,CAT_PCB,0.735,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2026-02-09T00:00:00+00:00,True
FLW_2026_0083,LOT_2026_0054,31cc77665eb241f1f4411a2cd2ed2a617f47015fe52d44ee321d8a6b50f7fd6f,CAT_CABLES,0.638,CAT_CABLES,hi,ACCEPTED_AS_SUGGESTED,2025-10-29T00:00:00+00:00,True
FLW_2026_0084,LOT_2026_0014,c95adf34fe5a82ae837ae9de254806e1311b459a18a1bcb1579d9ef8f4da4a71,CAT_CABLES,0.723,CAT_PLASTICS,mr,CORRECTED_BY_COLLECTOR,2026-02-11T00:00:00+00:00,True
