date,category_id,category_name,location_cluster,buying_price_per_kg,selling_price_per_kg,unit,source_type,notes
2025-01-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),35.11,48.15,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),15.66,25.06,kg,field,Aggregated field market reading
2025-01-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),20.66,31.06,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),17.66,27.46,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),18.47,30.35,kg,field,Aggregated field market reading
2025-01-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),23.47,36.35,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),20.47,32.75,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),11.96,19.54,kg,field,Aggregated field market reading
2025-01-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),16.96,25.54,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),13.96,21.94,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),36.28,53.0,kg,field,Aggregated field market reading
2025-01-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),41.28,59.0,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),38.28,55.4,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),179.75,260.12,kg,field,Aggregated field market reading
2025-01-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),184.75,266.12,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),181.75,262.52,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),239.27,319.3,kg,field,Aggregated field market reading
2025-01-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),244.27,325.3,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),241.27,321.7,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),73.1,102.74,kg,field,Aggregated field market reading
2025-01-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),78.1,108.74,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),75.1,105.14,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),34.14,47.17,kg,field,Aggregated field market reading
2025-01-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),39.14,53.17,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),36.14,49.57,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),16.31,26.08,kg,field,Aggregated field market reading
2025-01-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),21.31,32.08,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),18.31,28.48,kg,synthetic,Aggregated synthetic market reading
2025-01-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),17.89,29.42,kg,field,Aggregated field market reading
2025-01-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),22.89,35.42,kg,recycler,Aggregated recycler market reading
2025-01-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),19.89,31.82,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.03,19.65,kg,field,Aggregated field market reading
2025-03-02,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.03,25.65,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.03,22.05,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),35.93,52.49,kg,field,Aggregated field market reading
2025-03-02,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),40.93,58.49,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),37.93,54.89,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),184.06,266.35,kg,field,Aggregated field market reading
2025-03-02,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),189.06,272.35,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),186.06,268.75,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),249.35,332.73,kg,field,Aggregated field market reading
2025-03-02,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),254.35,338.73,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),251.35,335.13,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),76.26,107.16,kg,field,Aggregated field market reading
2025-03-02,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),81.26,113.16,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),78.26,109.56,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),32.91,45.48,kg,field,Aggregated field market reading
2025-03-02,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),37.91,51.48,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),34.91,47.88,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),16.74,26.74,kg,field,Aggregated field market reading
2025-03-02,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),21.74,32.74,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),18.74,29.14,kg,synthetic,Aggregated synthetic market reading
2025-03-02,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),19.01,31.22,kg,field,Aggregated field market reading
2025-03-02,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),24.01,37.22,kg,recycler,Aggregated recycler market reading
2025-03-02,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),21.01,33.62,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.72,20.73,kg,field,Aggregated field market reading
2025-04-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.72,26.73,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.72,23.13,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),36.23,52.94,kg,field,Aggregated field market reading
2025-04-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),41.23,58.94,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),38.23,55.34,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),184.84,267.48,kg,field,Aggregated field market reading
2025-04-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),189.84,273.48,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),186.84,269.88,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),244.9,326.79,kg,field,Aggregated field market reading
2025-04-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),249.9,332.79,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),246.9,329.19,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),76.84,107.97,kg,field,Aggregated field market reading
2025-04-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),81.84,113.97,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),78.84,110.37,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),34.08,47.08,kg,field,Aggregated field market reading
2025-04-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),39.08,53.08,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),36.08,49.48,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),16.45,26.3,kg,field,Aggregated field market reading
2025-04-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),21.45,32.3,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),18.45,28.7,kg,synthetic,Aggregated synthetic market reading
2025-04-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),18.46,30.34,kg,field,Aggregated field market reading
2025-04-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),23.46,36.34,kg,recycler,Aggregated recycler market reading
2025-04-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),20.46,32.74,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.64,20.6,kg,field,Aggregated field market reading
2025-05-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.64,26.6,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.64,23.0,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),37.06,54.14,kg,field,Aggregated field market reading
2025-05-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),42.06,60.14,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),39.06,56.54,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),182.53,264.14,kg,field,Aggregated field market reading
2025-05-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),187.53,270.14,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),184.53,266.54,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),242.97,324.22,kg,field,Aggregated field market reading
2025-05-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),247.97,330.22,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),244.97,326.62,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),76.89,108.05,kg,field,Aggregated field market reading
2025-05-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),81.89,114.05,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),78.89,110.45,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),33.71,46.58,kg,field,Aggregated field market reading
2025-05-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),38.71,52.58,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),35.71,48.98,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),16.82,26.87,kg,field,Aggregated field market reading
2025-05-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),21.82,32.87,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),18.82,29.27,kg,synthetic,Aggregated synthetic market reading
2025-05-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),18.41,30.25,kg,field,Aggregated field market reading
2025-05-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),23.41,36.25,kg,recycler,Aggregated recycler market reading
2025-05-01,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),20.41,32.65,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.99,21.15,kg,field,Aggregated field market reading
2025-05-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.99,27.15,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.99,23.55,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),37.35,54.55,kg,field,Aggregated field market reading
2025-05-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),42.35,60.55,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),39.35,56.95,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),185.4,268.29,kg,field,Aggregated field market reading
2025-05-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),190.4,274.29,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),187.4,270.69,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),256.9,342.8,kg,field,Aggregated field market reading
2025-05-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),261.9,348.8,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),258.9,345.2,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),75.47,106.06,kg,field,Aggregated field market reading
2025-05-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),80.47,112.06,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),77.47,108.46,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),34.99,48.33,kg,field,Aggregated field market reading
2025-05-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),39.99,54.33,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),36.99,50.73,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),17.57,28.04,kg,field,Aggregated field market reading
2025-05-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),22.57,34.04,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),19.57,30.44,kg,synthetic,Aggregated synthetic market reading
2025-05-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),18.85,30.96,kg,field,Aggregated field market reading
2025-05-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),23.85,36.96,kg,recycler,Aggregated recycler market reading
2025-05-31,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),20.85,33.36,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),13.21,21.5,kg,field,Aggregated field market reading
2025-06-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),18.21,27.5,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),15.21,23.9,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),39.77,58.06,kg,field,Aggregated field market reading
2025-06-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),44.77,64.06,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),41.77,60.46,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),186.98,270.58,kg,field,Aggregated field market reading
2025-06-30,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),191.98,276.58,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),188.98,272.98,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),254.54,339.66,kg,field,Aggregated field market reading
2025-06-30,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),259.54,345.66,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),256.54,342.06,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),76.48,107.48,kg,field,Aggregated field market reading
2025-06-30,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),81.48,113.48,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),78.48,109.88,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),36.28,50.1,kg,field,Aggregated field market reading
2025-06-30,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),41.28,56.1,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),38.28,52.5,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),16.84,26.9,kg,field,Aggregated field market reading
2025-06-30,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),21.84,32.9,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_PLASTICS,Mixed E-Waste Plastics (ABS / HIPS),Maharashtra (Mumbai/Pune/Nashik),18.84,29.3,kg,synthetic,Aggregated synthetic market reading
2025-06-30,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),19.17,31.46,kg,field,Aggregated field market reading
2025-06-30,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),24.17,37.46,kg,recycler,Aggregated recycler market reading
2025-06-30,CAT_OTHER,Other Electronic Scrap,Maharashtra (Mumbai/Pune/Nashik),21.17,33.86,kg,synthetic,Aggregated synthetic market reading
2025-07-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.98,21.15,kg,field,Aggregated field market reading
2025-07-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.98,27.15,kg,recycler,Aggregated recycler market reading
2025-07-30,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.98,23.55,kg,synthetic,Aggregated synthetic market reading
2025-07-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),38.96,56.89,kg,field,Aggregated field market reading
2025-07-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),43.96,62.89,kg,recycler,Aggregated recycler market reading
2025-07-30,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),40.96,59.29,kg,synthetic,Aggregated synthetic market reading
2025-07-30,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),188.28,272.44,kg,field,Aggregated field market reading
